sensor_type,device_type,timestamps,level
battery,smartphone,1454956105669000000,100.000
battery,smartphone,1454956112419000000,100.000
battery,smartphone,1454956122163000000,100.000
battery,smartphone,1454956185038000000,100.000
battery,smartphone,1454956193864000000,100.000
battery,smartphone,1454956212735000000,100.000
battery,smartphone,1454956275025000000,100.000
battery,smartphone,1454956284803000000,100.000
battery,smartphone,1454956299069000000,100.000
battery,smartphone,1454956365006000000,100.000
battery,smartphone,1454956383936000000,100.000
battery,smartphone,1454956455087000000,100.000
battery,smartphone,1454956458775000000,100.000
battery,smartphone,1454956468878000000,100.000
battery,smartphone,1454956479012000000,100.000
battery,smartphone,1454956545029000000,100.000
battery,smartphone,1454956549672000000,100.000
battery,smartphone,1454956569692000000,100.000
battery,smartphone,1454956635026000000,100.000
battery,smartphone,1454956639990000000,100.000
battery,smartphone,1454956660057000000,100.000
battery,smartphone,1454956725035000000,100.000
battery,smartphone,1454956733046000000,100.000
battery,smartphone,1454956743135000000,100.000
battery,smartphone,1454956815031000000,100.000
battery,smartphone,1454956819619000000,100.000
battery,smartphone,1454956820024000000,100.000
battery,smartphone,1454956905121000000,100.000
battery,smartphone,1454956911044000000,100.000
battery,smartphone,1454956995142000000,100.000
battery,smartphone,1454957001337000000,100.000
battery,smartphone,1454957085085000000,100.000
battery,smartphone,1454957091687000000,100.000
battery,smartphone,1454957175017000000,100.000
battery,smartphone,1454957183446000000,100.000
battery,smartphone,1454957265129000000,99.000
battery,smartphone,1454957273680000000,99.000
battery,smartphone,1454957355091000000,99.000
battery,smartphone,1454957367148000000,99.000
battery,smartphone,1454957445149000000,99.000
battery,smartphone,1454957457479000000,99.000
battery,smartphone,1454957535167000000,98.000
battery,smartphone,1454957556152000000,98.000
battery,smartphone,1454957625134000000,98.000
battery,smartphone,1454957649514000000,98.000
battery,smartphone,1454957715103000000,98.000
battery,smartphone,1454957718925000000,98.000
battery,smartphone,1454957805132000000,98.000
battery,smartphone,1454957809260000000,98.000
battery,smartphone,1454957895141000000,98.000
battery,smartphone,1454957901301000000,97.000
battery,smartphone,1454957985168000000,97.000
battery,smartphone,1454958000218000000,97.000
battery,smartphone,1454958075101000000,97.000
battery,smartphone,1454958093668000000,97.000
battery,smartphone,1454958165099000000,97.000
battery,smartphone,1454958255135000000,96.000
battery,smartphone,1454958258769000000,96.000
battery,smartphone,1454958345176000000,96.000
battery,smartphone,1454958353983000000,96.000
battery,smartphone,1454958435109000000,96.000
battery,smartphone,1454958449487000000,95.000
battery,smartphone,1454958525104000000,95.000
battery,smartphone,1454958546855000000,95.000
