sensor_type,device_type,timestamps,level
battery,smartwatch,1454956146003000000,98.000
battery,smartwatch,1454956156346000000,98.000
battery,smartwatch,1454956236002000000,97.000
battery,smartwatch,1454956326002000000,96.000
battery,smartwatch,1454956336647000000,96.000
battery,smartwatch,1454956416003000000,95.000
battery,smartwatch,1454956506002000000,95.000
battery,smartwatch,1454956515742000000,94.000
battery,smartwatch,1454956596002000000,94.000
battery,smartwatch,1454956686003000000,93.000
battery,smartwatch,1454956696053000000,92.000
battery,smartwatch,1454956776003000000,92.000
battery,smartwatch,1454956866002000000,91.000
battery,smartwatch,1454956876384000000,91.000
battery,smartwatch,1454956956002000000,90.000
battery,smartwatch,1454957046003000000,90.000
battery,smartwatch,1454957056670000000,89.000
battery,smartwatch,1454957136004000000,89.000
battery,smartwatch,1454957226003000000,88.000
battery,smartwatch,1454957235917000000,88.000
battery,smartwatch,1454957316003000000,87.000
battery,smartwatch,1454957406003000000,87.000
battery,smartwatch,1454957416266000000,86.000
battery,smartwatch,1454957496002000000,86.000
battery,smartwatch,1454957586003000000,85.000
battery,smartwatch,1454957596560000000,85.000
battery,smartwatch,1454957676003000000,85.000
battery,smartwatch,1454957766002000000,84.000
battery,smartwatch,1454957775838000000,83.000
battery,smartwatch,1454957856002000000,83.000
battery,smartwatch,1454957946003000000,82.000
battery,smartwatch,1454957956164000000,82.000
battery,smartwatch,1454958036002000000,81.000
battery,smartwatch,1454958126004000000,81.000
battery,smartwatch,1454958136460000000,80.000
battery,smartwatch,1454958216003000000,80.000
battery,smartwatch,1454958306003000000,79.000
battery,smartwatch,1454958315743000000,79.000
battery,smartwatch,1454958396002000000,78.000
battery,smartwatch,1454958486003000000,77.000
battery,smartwatch,1454958496079000000,77.000
battery,smartwatch,1454958576003000000,76.000
battery,smartwatch,1454958666002000000,76.000
battery,smartwatch,1454958676407000000,75.000
battery,smartwatch,1454958756003000000,75.000
battery,smartwatch,1454958846002000000,74.000
battery,smartwatch,1454958856714000000,74.000
battery,smartwatch,1454958936003000000,73.000
battery,smartwatch,1454959026003000000,72.000
battery,smartwatch,1454959035939000000,72.000
battery,smartwatch,1454959116008000000,71.000
battery,smartwatch,1454959206002000000,71.000
battery,smartwatch,1454959216281000000,70.000
battery,smartwatch,1454959296003000000,70.000
battery,smartwatch,1454959386002000000,69.000
battery,smartwatch,1454959396561000000,69.000
battery,smartwatch,1454959476002000000,68.000
battery,smartwatch,1454959566003000000,68.000
battery,smartwatch,1454959575843000000,67.000
battery,smartwatch,1454959656003000000,67.000
battery,smartwatch,1454959746003000000,66.000
battery,smartwatch,1454959756146000000,66.000
battery,smartwatch,1454959836003000000,65.000
battery,smartwatch,1454959926003000000,64.000
battery,smartwatch,1454959936459000000,64.000
battery,smartwatch,1454960016004000000,63.000
battery,smartwatch,1454960106002000000,63.000
battery,smartwatch,1454960115742000000,62.000
battery,smartwatch,1454960196002000000,62.000
battery,smartwatch,1454960286003000000,61.000
battery,smartwatch,1454960296066000000,60.000
battery,smartwatch,1454960376003000000,60.000
battery,smartwatch,1454960466003000000,60.000
battery,smartwatch,1454960476378000000,59.000
battery,smartwatch,1454960556002000000,59.000
battery,smartwatch,1454960646002000000,58.000
battery,smartwatch,1454960656676000000,57.000
battery,smartwatch,1454960736003000000,57.000
battery,smartwatch,1454960826003000000,56.000
battery,smartwatch,1454960835944000000,56.000
battery,smartwatch,1454960916002000000,55.000
battery,smartwatch,1454961006002000000,55.000
battery,smartwatch,1454961016260000000,54.000
battery,smartwatch,1454961096003000000,53.000
battery,smartwatch,1454961186002000000,53.000
battery,smartwatch,1454961196543000000,52.000
battery,smartwatch,1454961276003000000,52.000
battery,smartwatch,1454961366003000000,51.000
battery,smartwatch,1454961375846000000,50.000
battery,smartwatch,1454961456003000000,50.000
battery,smartwatch,1454961546003000000,49.000
battery,smartwatch,1454961556172000000,49.000
battery,smartwatch,1454961636007000000,48.000
battery,smartwatch,1454961726003000000,48.000
battery,smartwatch,1454961736459000000,47.000
battery,smartwatch,1454961816003000000,46.000
battery,smartwatch,1454961906003000000,46.000
battery,smartwatch,1454961915741000000,46.000
battery,smartwatch,1454961996003000000,45.000
battery,smartwatch,1454962086003000000,44.000
battery,smartwatch,1454962096075000000,44.000
battery,smartwatch,1454962176002000000,43.000
battery,smartwatch,1454962266003000000,42.000
battery,smartwatch,1454962276387000000,42.000
battery,smartwatch,1454962356003000000,41.000
battery,smartwatch,1454962446003000000,40.000
battery,smartwatch,1454962456664000000,40.000
battery,smartwatch,1454962536002000000,40.000
battery,smartwatch,1454962626003000000,39.000
battery,smartwatch,1454962635944000000,38.000
battery,smartwatch,1454962716002000000,38.000
battery,smartwatch,1454962806003000000,37.000
battery,smartwatch,1454962816269000000,36.000
battery,smartwatch,1454962896002000000,36.000
battery,smartwatch,1454963076002000000,34.000
battery,smartwatch,1454963166003000000,33.000
battery,smartwatch,1454963175856000000,33.000
battery,smartwatch,1454963256002000000,32.000
battery,smartwatch,1454963346003000000,32.000
battery,smartwatch,1454963356199000000,31.000
battery,smartwatch,1454963436003000000,30.000
battery,smartwatch,1454963526002000000,30.000
battery,smartwatch,1454963536458000000,29.000
battery,smartwatch,1454963616004000000,28.000
battery,smartwatch,1454963706004000000,28.000
battery,smartwatch,1454963715744000000,28.000
battery,smartwatch,1454963796004000000,27.000
battery,smartwatch,1454963886004000000,27.000
battery,smartwatch,1454963896052000000,27.000
battery,smartwatch,1454963976004000000,27.000
battery,smartwatch,1454964066002000000,27.000
battery,smartwatch,1454964076358000000,27.000
battery,smartwatch,1454964156003000000,27.000
battery,smartwatch,1454964246004000000,26.000
battery,smartwatch,1454964256666000000,26.000
battery,smartwatch,1454964336003000000,26.000
battery,smartwatch,1454964606004000000,25.000
battery,smartwatch,1454964616261000000,25.000
battery,smartwatch,1454964696004000000,25.000
