sensor_type,device_type,timestamps,cid,lac,mcc,mnc
gsm,smartphone,1454956114042000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956114068000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956125026000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956136013000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956147025000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956158009000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956169019000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956180031000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956191012000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956202016000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956213018000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956224007000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956235018000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956246011000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956257016000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956268010000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956279012000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956290041000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956301015000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956312015000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956323021000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956334019000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956345011000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956356006000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956367007000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956378023000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956389016000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956400018000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956411010000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956422017000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956433029000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956444005000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956455058000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956466015000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956477007000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956488012000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956499022000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956510012000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956521010000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956532014000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956543020000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956554006000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956565011000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956576005000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956587009000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956598020000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956609004000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956620006000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956631022000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956642017000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956653005000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956664016000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956675006000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956686024000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956697007000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956708010000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956719024000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956730021000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956741015000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956752023000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956763018000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956774012000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956785054000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956796008000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956807019000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956818034000000,107884553.000,37127.000,310,410
gsm,smartphone,1454956829031000000,108104714.000,37127.000,310,410
gsm,smartphone,1454956840020000000,108104714.000,37127.000,310,410
gsm,smartphone,1454956851026000000,108104714.000,37127.000,310,410
gsm,smartphone,1454956862016000000,108104714.000,37127.000,310,410
gsm,smartphone,1454956873008000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956884020000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956895013000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956906018000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956917020000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956928018000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956939014000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956950005000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956961020000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956972020000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956983010000000,107884554.000,37127.000,310,410
gsm,smartphone,1454956994017000000,107884554.000,37127.000,310,410
gsm,smartphone,1454957005022000000,107884554.000,37127.000,310,410
gsm,smartphone,1454957016003000000,107884554.000,37127.000,310,410
