sensor_type,device_type,label,label_start,label_start_datetime,label_end,label_end_datetime
interval_label,smartphone,On Table,1454956132985999872.000,08/02/2016 10:28:52,1454956366574000128.000,08/02/2016 10:32:46
interval_label,smartphone,On Table,1454956393088000000.000,08/02/2016 10:33:13,1454956578385999872.000,08/02/2016 10:36:18
interval_label,smartphone,On Table,1454956608515000064.000,08/02/2016 10:36:48,1454956813323000064.000,08/02/2016 10:40:13
interval_label,smartphone,Sitting,1454956894057999872.000,08/02/2016 10:41:34,1454957092968000000.000,08/02/2016 10:44:52
interval_label,smartphone,Sitting,1454957171503000064.000,08/02/2016 10:46:11,1454957470420000000.000,08/02/2016 10:51:10
interval_label,smartphone,Sitting,1454957491454000128.000,08/02/2016 10:51:31,1454957677281999872.000,08/02/2016 10:54:37
interval_label,smartphone,Washing Hands,1454957869023000064.000,08/02/2016 10:57:49,1454957916644000000.000,08/02/2016 10:58:36
interval_label,smartphone,Walking,1454957979222000128.000,08/02/2016 10:59:39,1454958295070000128.000,08/02/2016 11:04:55
interval_label,smartphone,Standing,1454958337896999936.000,08/02/2016 11:05:37,1454958582488999936.000,08/02/2016 11:09:42
interval_label,smartphone,Walking,1454958591484000000.000,08/02/2016 11:09:51,1454958832881999872.000,08/02/2016 11:13:52
interval_label,smartphone,Driving,1454958881535000064.000,08/02/2016 11:14:41,1454959104660000000.000,08/02/2016 11:18:24
interval_label,smartphone,Driving,1454959108806000128.000,08/02/2016 11:18:28,1454959307120999936.000,08/02/2016 11:21:47
interval_label,smartphone,Walking,1454959337198000128.000,08/02/2016 11:22:17,1454959514616000000.000,08/02/2016 11:25:14
interval_label,smartphone,Washing Hands,1454959529476999936.000,08/02/2016 11:25:29,1454959580777999872.000,08/02/2016 11:26:20
interval_label,smartphone,Washing Hands,1454959593401999872.000,08/02/2016 11:26:33,1454959651236000000.000,08/02/2016 11:27:31
interval_label,smartphone,Standing,1454959783483000064.000,08/02/2016 11:29:43,1454959833895000064.000,08/02/2016 11:30:33
interval_label,smartphone,Eating,1454959883984999936.000,08/02/2016 11:31:23,1454960046376999936.000,08/02/2016 11:34:06
interval_label,smartphone,Eating,1454960070273999872.000,08/02/2016 11:34:30,1454960290052999936.000,08/02/2016 11:38:10
interval_label,smartphone,Eating,1454960312481999872.000,08/02/2016 11:38:32,1454960470921999872.000,08/02/2016 11:41:10
interval_label,smartphone,Driving,1454960642652000000.000,08/02/2016 11:44:02,1454961207784000000.000,08/02/2016 11:53:27
interval_label,smartphone,Standing,1454961373846000128.000,08/02/2016 11:56:13,1454961479588999936.000,08/02/2016 11:57:59
interval_label,smartphone,Walking,1454961485284000000.000,08/02/2016 11:58:05,1454961765384000000.000,08/02/2016 12:02:45
interval_label,smartphone,Standing,1454961797804999936.000,08/02/2016 12:03:17,1454961974667000064.000,08/02/2016 12:06:14
interval_label,smartphone,Running,1454962070671000064.000,08/02/2016 12:07:50,1454962372551000064.000,08/02/2016 12:12:52
interval_label,smartphone,Walking,1454962985542000128.000,08/02/2016 12:23:05,1454963143620000000.000,08/02/2016 12:25:43
