sensor_type,device_type,timestamps,lux
light,smartphone,1454956105993627709,1084.000
light,smartphone,1454956106349348073,1084.000
light,smartphone,1454956106530276979,1086.000
light,smartphone,1454956106705383020,1084.000
light,smartphone,1454956106883563854,1084.000
light,smartphone,1454956107238660261,1086.000
light,smartphone,1454956107417626146,1083.000
light,smartphone,1454956107594707188,1084.000
light,smartphone,1454956107772602084,1084.000
light,smartphone,1454956107950405834,1084.000
light,smartphone,1454956108307351979,1083.000
light,smartphone,1454956108484881667,1083.000
light,smartphone,1454956108661758594,1083.000
light,smartphone,1454956108840981875,1083.000
light,smartphone,1454956109196240104,1083.000
light,smartphone,1454956109374859687,1083.000
light,smartphone,1454956109551612031,1084.000
light,smartphone,1454956109730837969,1084.000
light,smartphone,1454956109912292188,1083.000
light,smartphone,1454956110263649896,1083.000
light,smartphone,1454956110442543021,1083.000
light,smartphone,1454956110619227031,1083.000
light,smartphone,1454956110797311250,1083.000
light,smartphone,1454956110975634531,1083.000
light,smartphone,1454956111153346771,1083.000
light,smartphone,1454956111331639063,1083.000
light,smartphone,1454956111509092135,1083.000
light,smartphone,1454956111687368906,1083.000
light,smartphone,1454956111864711355,1084.000
light,smartphone,1454956112220689635,1083.000
light,smartphone,1454956112398620261,1083.000
light,smartphone,1454956112575766458,1083.000
light,smartphone,1454956112754605052,1084.000
light,smartphone,1454956112932592396,1084.000
light,smartphone,1454956113287746771,1084.000
light,smartphone,1454956113466259635,1083.000
light,smartphone,1454956113644201250,1083.000
light,smartphone,1454956113821513697,1084.000
light,smartphone,1454956114177576406,1084.000
light,smartphone,1454956114355628021,1083.000
light,smartphone,1454956114534144844,1083.000
light,smartphone,1454956114711452188,1084.000
light,smartphone,1454956114890322605,1083.000
light,smartphone,1454956115245325676,1084.000
light,smartphone,1454956115423260521,1084.000
light,smartphone,1454956115601765156,1084.000
light,smartphone,1454956115778492813,1084.000
light,smartphone,1454956115958486927,1085.000
light,smartphone,1454956116317833126,1083.000
light,smartphone,1454956116490652552,1084.000
light,smartphone,1454956116669718125,1083.000
light,smartphone,1454956116847095729,1084.000
light,smartphone,1454956117203105729,1083.000
light,smartphone,1454956117382270625,1084.000
light,smartphone,1454956117558114271,1083.000
light,smartphone,1454956117735570417,1083.000
light,smartphone,1454956117914845469,1084.000
light,smartphone,1454956118270840156,1084.000
light,smartphone,1454956118447455000,1084.000
light,smartphone,1454956118625680834,1083.000
light,smartphone,1454956118804514427,1084.000
light,smartphone,1454956118982874844,1083.000
light,smartphone,1454956119160484323,1077.000
light,smartphone,1454956119340233021,1072.000
light,smartphone,1454956119515598073,1078.000
light,smartphone,1454956119694761874,1094.000
light,smartphone,1454956119872961094,1094.000
light,smartphone,1454956120227459115,1098.000
light,smartphone,1454956120405781041,1104.000
light,smartphone,1454956120582951302,1104.000
light,smartphone,1454956120760914636,1104.000
light,smartphone,1454956120939334584,1104.000
light,smartphone,1454956121294249166,1104.000
light,smartphone,1454956121472679427,1104.000
light,smartphone,1454956121651068126,1105.000
light,smartphone,1454956121829078854,1105.000
light,smartphone,1454956122183728750,1105.000
light,smartphone,1454956122361674791,1105.000
light,smartphone,1454956122540220937,1104.000
light,smartphone,1454956122717448281,1105.000
light,smartphone,1454956122895647500,1104.000
light,smartphone,1454956123252524636,1105.000
light,smartphone,1454956123430891042,1105.000
light,smartphone,1454956123608706198,1104.000
light,smartphone,1454956123785415625,1105.000
light,smartphone,1454956123962799427,1106.000
light,smartphone,1454956124319567031,1105.000
light,smartphone,1454956124496731875,1104.000
light,smartphone,1454956124674703385,1105.000
light,smartphone,1454956124853883385,1104.000
light,smartphone,1454956125209857344,1105.000
light,smartphone,1454956125387527187,1104.000
light,smartphone,1454956125566380572,1104.000
light,smartphone,1454956125742602657,1104.000
light,smartphone,1454956125920740052,1104.000
light,smartphone,1454956126276508489,1105.000
light,smartphone,1454956126454494636,1104.000
light,smartphone,1454956126631641823,1104.000
light,smartphone,1454956126810472083,1105.000
light,smartphone,1454956126990067552,1105.000
light,smartphone,1454956127166303750,1104.000
light,smartphone,1454956127344091354,1105.000
light,smartphone,1454956127522489636,1104.000
light,smartphone,1454956127699679375,1104.000
light,smartphone,1454956127877893178,1105.000
light,smartphone,1454956128233651875,1104.000
light,smartphone,1454956128411171042,1104.000
light,smartphone,1454956128589733542,1103.000
light,smartphone,1454956128770276562,1104.000
light,smartphone,1454956128945439948,1103.000
light,smartphone,1454956129301083802,1103.000
light,smartphone,1454956129479354531,1103.000
light,smartphone,1454956129657239271,1104.000
light,smartphone,1454956129835208282,1105.000
light,smartphone,1454956130190738698,1105.000
light,smartphone,1454956130369461876,1105.000
light,smartphone,1454956130546628854,1104.000
light,smartphone,1454956130723625938,1104.000
light,smartphone,1454956130902636614,1105.000
light,smartphone,1454956131257667396,1104.000
light,smartphone,1454956131436754792,1104.000
light,smartphone,1454956131622427188,1104.000
light,smartphone,1454956131792826302,1103.000
light,smartphone,1454956131969710208,1104.000
light,smartphone,1454956132325493229,1104.000
light,smartphone,1454956132503670937,1105.000
light,smartphone,1454956132682181823,1105.000
light,smartphone,1454956132859552135,1105.000
light,smartphone,1454956133215524844,1104.000
light,smartphone,1454956133392679895,1104.000
light,smartphone,1454956133571163803,1103.000
light,smartphone,1454956133749531823,1104.000
light,smartphone,1454956133926518697,1104.000
light,smartphone,1454956134284543333,1104.000
light,smartphone,1454956134460936458,1103.000
light,smartphone,1454956134639873490,1104.000
light,smartphone,1454956134817120468,1104.000
light,smartphone,1454956134995587761,1104.000
light,smartphone,1454956135172200729,1105.000
light,smartphone,1454956135350863334,1104.000
light,smartphone,1454956135528795521,1104.000
light,smartphone,1454956135706965104,1104.000
light,smartphone,1454956135883501354,1104.000
light,smartphone,1454956136239560781,1104.000
light,smartphone,1454956136423958750,1104.000
light,smartphone,1454956136596257656,1104.000
light,smartphone,1454956136774283802,1104.000
light,smartphone,1454956136952562240,1105.000
light,smartphone,1454956137308554062,1104.000
light,smartphone,1454956137485580104,1104.000
light,smartphone,1454956137664183854,1105.000
light,smartphone,1454956137841884531,1104.000
light,smartphone,1454956138197176875,1104.000
light,smartphone,1454956138375905521,1104.000
light,smartphone,1454956138553890625,1104.000
light,smartphone,1454956138730255990,1105.000
light,smartphone,1454956138909879792,1103.000
light,smartphone,1454956139265163021,1104.000
light,smartphone,1454956139443870000,1104.000
light,smartphone,1454956139621003021,1104.000
light,smartphone,1454956139798520261,1104.000
light,smartphone,1454956139976826303,1103.000
light,smartphone,1454956140332839167,1104.000
light,smartphone,1454956140510184844,1104.000
light,smartphone,1454956140688193281,1103.000
light,smartphone,1454956140866064218,1105.000
light,smartphone,1454956141221296042,1104.000
light,smartphone,1454956141399622032,1104.000
light,smartphone,1454956141578355729,1104.000
light,smartphone,1454956141755719687,1104.000
