sensor_type,device_type,timestamps,latitude,longitude,speed
location,smartphone,1454956583486,47.546,-122.059,6.850
location,smartphone,1454956593465,47.546,-122.059,2.478
location,smartphone,1454957318561,47.546,-122.060,0.361
location,smartphone,1454957439584,47.546,-122.060,0.555
location,smartphone,1454957440545,47.546,-122.059,0.020
location,smartphone,1454957441545,47.546,-122.059,0.040
location,smartphone,1454957442541,47.546,-122.059,0.200
location,smartphone,1454957443542,47.546,-122.059,0.175
location,smartphone,1454957643569,47.546,-122.059,4.478
location,smartphone,1454957946611,47.546,-122.060,0.569
location,smartphone,1454957957000,47.546,-122.060,0.000
location,smartphone,1454957958000,47.546,-122.060,0.000
location,smartphone,1454957959000,47.546,-122.060,0.000
location,smartphone,1454957961000,47.546,-122.060,0.000
location,smartphone,1454957962000,47.546,-122.060,0.000
location,smartphone,1454957964000,47.546,-122.060,0.000
location,smartphone,1454958034377,47.546,-122.059,0.000
location,smartphone,1454958045809,47.546,-122.059,0.000
location,smartphone,1454958060955,47.547,-122.059,0.000
location,smartphone,1454958038586000000,47.546,-122.059,0.000
location,smartphone,1454958045820000000,47.546,-122.059,0.000
location,smartphone,1454958063282000000,47.547,-122.059,0.000
location,smartphone,1454958101980,47.546,-122.059,0.000
location,smartphone,1454958142139,47.546,-122.058,0.000
location,smartphone,1454958155339,47.546,-122.058,0.000
location,smartphone,1454958181986,47.546,-122.058,0.000
location,smartphone,1454958163786000000,47.546,-122.058,0.000
location,smartphone,1454958183895000000,47.546,-122.058,0.000
location,smartphone,1454958192340,47.546,-122.058,0.000
location,smartphone,1454958222089,47.546,-122.059,0.000
location,smartphone,1454958223580000000,47.546,-122.059,0.000
location,smartphone,1454958262076,47.547,-122.059,0.000
location,smartphone,1454958302596,47.547,-122.059,0.000
location,smartphone,1454958303835000000,47.547,-122.059,0.000
location,smartphone,1454958320766,47.547,-122.059,0.000
location,smartphone,1454958341912,47.547,-122.059,0.000
location,smartphone,1454958363687,47.546,-122.059,0.000
location,smartphone,1454958343920000000,47.547,-122.059,0.000
location,smartphone,1454958364037000000,47.546,-122.059,0.000
location,smartphone,1454958382128,47.547,-122.059,0.000
location,smartphone,1454958392572,47.546,-122.059,0.000
location,smartphone,1454958404033000000,47.546,-122.059,0.000
location,smartphone,1454958432743,47.547,-122.059,0.000
location,smartphone,1454958462120,47.546,-122.059,0.000
location,smartphone,1454958484094,47.547,-122.059,0.000
location,smartphone,1454958464219000000,47.546,-122.059,0.000
location,smartphone,1454958484334000000,47.547,-122.059,0.000
location,smartphone,1454958564103,47.547,-122.059,0.000
location,smartphone,1454958581999,47.546,-122.059,0.000
location,smartphone,1454958603746,47.546,-122.059,0.000
location,smartphone,1454958564447000000,47.547,-122.059,0.000
location,smartphone,1454958584454000000,47.546,-122.059,0.000
location,smartphone,1454958604681000000,47.546,-122.059,0.000
location,smartphone,1454958622193,47.546,-122.059,0.000
location,smartphone,1454958644078,47.547,-122.060,0.000
location,smartphone,1454958662203,47.546,-122.060,0.000
location,smartphone,1454958644612000000,47.547,-122.060,0.000
location,smartphone,1454958664731000000,47.546,-122.060,0.000
location,smartphone,1454958684182,47.546,-122.061,0.000
location,smartphone,1454958702139,47.546,-122.061,0.000
location,smartphone,1454958724098,47.546,-122.061,0.000
location,smartphone,1454958736000,47.546,-122.061,0.060
location,smartphone,1454958704836000000,47.546,-122.061,0.000
location,smartphone,1454958724953000000,47.546,-122.061,0.000
location,smartphone,1454958742126,47.546,-122.062,0.000
location,smartphone,1454958764016,47.546,-122.061,0.000
location,smartphone,1454958782234,47.546,-122.061,0.000
location,smartphone,1454958790505,47.546,-122.061,0.000
location,smartphone,1454958765179000000,47.546,-122.061,0.000
location,smartphone,1454958785263000000,47.546,-122.061,0.000
location,smartphone,1454958823798,47.546,-122.060,0.000
location,smartphone,1454958833979,47.546,-122.060,0.000
location,smartphone,1454958845938000000,47.546,-122.060,0.000
location,smartphone,1454958863189,47.546,-122.060,0.000
location,smartphone,1454958873897,47.546,-122.060,0.000
location,smartphone,1454958904216,47.546,-122.060,0.000
location,smartphone,1454958885688000000,47.546,-122.060,0.000
location,smartphone,1454958905735000000,47.546,-122.060,0.000
location,smartphone,1454958929424,47.546,-122.060,0.000
location,smartphone,1454958945645,47.546,-122.060,0.000
location,smartphone,1454958963988,47.546,-122.062,0.000
location,smartphone,1454958945932000000,47.546,-122.060,0.000
location,smartphone,1454958965889000000,47.546,-122.062,0.000
location,smartphone,1454958985598,47.546,-122.061,0.000
location,smartphone,1454959003969,47.546,-122.061,0.000
location,smartphone,1454959025351,47.546,-122.061,0.000
location,smartphone,1454959005984000000,47.546,-122.061,0.000
location,smartphone,1454959026153000000,47.546,-122.061,0.000
location,smartphone,1454959035769,47.546,-122.059,0.000
location,smartphone,1454959065542,47.547,-122.059,0.000
location,smartphone,1454959083829,47.546,-122.059,0.000
location,smartphone,1454959066173000000,47.547,-122.059,0.000
location,smartphone,1454959086255000000,47.546,-122.059,0.000
location,smartphone,1454959105430,47.545,-122.060,0.000
location,smartphone,1454959108784,47.545,-122.060,0.000
location,smartphone,1454959132000,47.546,-122.061,13.541
location,smartphone,1454959141000,47.546,-122.063,1.160
location,smartphone,1454959141984,47.546,-122.062,0.000
location,smartphone,1454959106222000000,47.545,-122.060,0.000
location,smartphone,1454959143251000000,47.546,-122.062,0.000
location,smartphone,1454959152349,47.546,-122.062,0.000
location,smartphone,1454959182046,47.548,-122.062,0.000
location,smartphone,1454959192428,47.548,-122.062,0.000
location,smartphone,1454959183406000000,47.548,-122.062,0.000
location,smartphone,1454959203247000000,47.548,-122.062,0.000
location,smartphone,1454959223124,47.548,-122.055,0.000
location,smartphone,1454959232582,47.551,-122.058,0.000
location,smartphone,1454959261953,47.551,-122.055,0.000
location,smartphone,1454959263726000000,47.551,-122.055,0.000
location,smartphone,1454959283352,47.548,-122.055,0.000
location,smartphone,1454959301956,47.551,-122.056,0.000
location,smartphone,1454959312157,47.551,-122.056,0.000
location,smartphone,1454959303906000000,47.551,-122.056,0.000
location,smartphone,1454959323550000000,47.551,-122.056,0.000
location,smartphone,1454959342008,47.551,-122.056,0.000
location,smartphone,1454959352319,47.551,-122.056,0.000
location,smartphone,1454959382038,47.551,-122.056,0.000
location,smartphone,1454959363736000000,47.551,-122.056,0.000
location,smartphone,1454959383889000000,47.551,-122.056,0.000
location,smartphone,1454959392503,47.551,-122.056,0.000
location,smartphone,1454959422066,47.552,-122.056,0.000
location,smartphone,1454959432679,47.552,-122.056,0.000
location,smartphone,1454959423904000000,47.552,-122.056,0.000
location,smartphone,1454959444109000000,47.552,-122.056,0.000
location,smartphone,1454959472168,47.552,-122.056,0.000
location,smartphone,1454959498591,47.552,-122.056,0.000
location,smartphone,1454959512306,47.552,-122.056,0.000
location,smartphone,1454959500754000000,47.552,-122.056,0.000
location,smartphone,1454959513697000000,47.552,-122.056,0.000
location,smartphone,1454959526871,47.552,-122.056,0.000
location,smartphone,1454959552197,47.552,-122.057,0.000
location,smartphone,1454959555143000000,47.552,-122.057,0.000
location,smartphone,1454959592024,47.552,-122.056,0.000
location,smartphone,1454959603371,47.552,-122.056,0.000
location,smartphone,1454959615359000000,47.552,-122.056,0.000
location,smartphone,1454959652617,47.552,-122.056,0.000
location,smartphone,1454959683865,47.551,-122.056,0.000
location,smartphone,1454959695549000000,47.551,-122.056,0.000
location,smartphone,1454959752425,47.551,-122.056,0.000
location,smartphone,1454959763822,47.551,-122.056,0.000
location,smartphone,1454959792408,47.551,-122.056,0.000
location,smartphone,1454959775745000000,47.551,-122.056,0.000
location,smartphone,1454959795748000000,47.551,-122.056,0.000
location,smartphone,1454959835831,47.551,-122.056,0.000
location,smartphone,1454959855175,47.551,-122.056,0.000
location,smartphone,1454959862113,47.551,-122.056,0.000
location,smartphone,1454959885000,47.551,-122.056,0.000
location,smartphone,1454959855966000000,47.551,-122.056,0.000
location,smartphone,1454959901943,47.551,-122.056,0.000
location,smartphone,1454959923650,47.551,-122.056,0.000
location,smartphone,1454959905474000000,47.551,-122.056,0.000
location,smartphone,1454959925571000000,47.551,-122.056,0.000
location,smartphone,1454959942140,47.551,-122.056,0.000
location,smartphone,1454959963924,47.551,-122.056,0.000
location,smartphone,1454959985615,47.551,-122.056,0.000
