sensor_type,device_type,timestamps,data 
phonestate,smartphone,1454956105661000000,STATE_IN_SERVICE
phonestate,smartphone,1454956105669000000,[37127,107884554,0]
phonestate,smartphone,1454956105673000000,CALL_STATE_IDLE
phonestate,smartphone,1454956105673000000,N/A
phonestate,smartphone,1454956105673000000,N/A
phonestate,smartphone,1454956105673000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454956574364000000,DATA_CONNECTED
phonestate,smartphone,1454956574368000000,DATA_CONNECTED
phonestate,smartphone,1454956574424000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454956578109000000,DATA_DISCONNECTED
phonestate,smartphone,1454956578112000000,DATA_DISCONNECTED
phonestate,smartphone,1454956578142000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454956609699000000,[37127,107884553,0]
phonestate,smartphone,1454956751172000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454956752188000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454956819663000000,[37127,108104714,0]
phonestate,smartphone,1454956865712000000,[37127,107884554,0]
phonestate,smartphone,1454957939140000000,DATA_CONNECTED
phonestate,smartphone,1454957939148000000,DATA_CONNECTED
phonestate,smartphone,1454957939157000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454957951081000000,DATA_DISCONNECTED
phonestate,smartphone,1454957951085000000,DATA_DISCONNECTED
phonestate,smartphone,1454957951143000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454957953506000000,DATA_CONNECTED
phonestate,smartphone,1454957953509000000,DATA_CONNECTED
phonestate,smartphone,1454957953529000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454957959318000000,DATA_DISCONNECTED
phonestate,smartphone,1454957959323000000,DATA_DISCONNECTED
phonestate,smartphone,1454957959347000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454957974080000000,[37127,107884553,0]
phonestate,smartphone,1454958031510000000,DATA_CONNECTED
phonestate,smartphone,1454958031518000000,DATA_CONNECTED
phonestate,smartphone,1454958031542000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958292182000000,[37127,107884554,0]
phonestate,smartphone,1454958294547000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958295572000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958311657000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454958312644000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958313650000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958334777000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958337804000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958581898000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958582903000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958584943000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958585950000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958830186000000,[37127,107884553,0]
phonestate,smartphone,1454958832521000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958833530000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958870785000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454958871814000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454958875412000000,[37127,107884554,0]
phonestate,smartphone,1454959104371000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959105367000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959305167000000,[37127,108762378,0]
phonestate,smartphone,1454959306505000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959307507000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959323664000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454959324680000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959325711000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959512125000000,[37127,107884561,0]
phonestate,smartphone,1454959514456000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959516478000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959528709000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959529724000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959580875000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959581881000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959582899000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959586968000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959587948000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959589978000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959650369000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959651379000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959780421000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454959781427000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959832113000000,[37127,108762385,0]
phonestate,smartphone,1454959833457000000,DATA_ACTIVITY_INOUT
