sensor_type,device_type,timestamps,distance
proximity,smartphone,1454956105549071823,8.000
proximity,smartphone,1454956180623657448,0.000
proximity,smartphone,1454956231521136198,0.000
proximity,smartphone,1454956273278645521,8.000
proximity,smartphone,1454956896440826406,0.000
proximity,smartphone,1454957090272093177,8.000
proximity,smartphone,1454957172890459896,0.000
proximity,smartphone,1454957173898621927,0.000
proximity,smartphone,1454957466062723854,8.000
proximity,smartphone,1454957466187240832,0.000
proximity,smartphone,1454957466301918281,8.000
proximity,smartphone,1454957466398849062,0.000
proximity,smartphone,1454957466475612239,8.000
proximity,smartphone,1454957494718048751,0.000
proximity,smartphone,1454957674419077344,8.000
proximity,smartphone,1454957679418255364,0.000
proximity,smartphone,1454957863219051042,8.000
proximity,smartphone,1454957913161649479,8.000
proximity,smartphone,1454957973242407813,8.000
proximity,smartphone,1454957981638753698,0.000
proximity,smartphone,1454957982449065312,0.000
proximity,smartphone,1454958291271120365,8.000
proximity,smartphone,1454958296549523437,0.000
proximity,smartphone,1454958296822403437,8.000
proximity,smartphone,1454958301440351042,8.000
proximity,smartphone,1454958316447000469,0.000
proximity,smartphone,1454958316667845469,8.000
proximity,smartphone,1454958342323108958,0.000
proximity,smartphone,1454958579034905625,8.000
proximity,smartphone,1454958595431862083,0.000
proximity,smartphone,1454958829099890937,8.000
proximity,smartphone,1454958835443968073,0.000
proximity,smartphone,1454958868769485885,8.000
proximity,smartphone,1454958872204210156,0.000
proximity,smartphone,1454958872310035886,8.000
proximity,smartphone,1454958886901318334,0.000
proximity,smartphone,1454958887499975781,8.000
proximity,smartphone,1454958887538732604,0.000
proximity,smartphone,1454958888482713020,0.000
proximity,smartphone,1454958906250133177,8.000
proximity,smartphone,1454958921791643229,0.000
proximity,smartphone,1454959056478161355,8.000
proximity,smartphone,1454959072975035000,0.000
proximity,smartphone,1454959079263326979,8.000
proximity,smartphone,1454959097277292084,0.000
proximity,smartphone,1454959097925829792,8.000
proximity,smartphone,1454959098631818073,8.000
proximity,smartphone,1454959098710724271,0.000
proximity,smartphone,1454959098785457916,8.000
proximity,smartphone,1454959099729792501,8.000
proximity,smartphone,1454959099749123490,0.000
proximity,smartphone,1454959100282775103,0.000
proximity,smartphone,1454959100631412813,8.000
proximity,smartphone,1454959110170434115,0.000
proximity,smartphone,1454959304232816354,8.000
proximity,smartphone,1454959339014968020,0.000
proximity,smartphone,1454959344941389896,8.000
proximity,smartphone,1454959344998072396,0.000
proximity,smartphone,1454959345646278489,0.000
proximity,smartphone,1454959512577498958,8.000
proximity,smartphone,1454959522264641042,8.000
proximity,smartphone,1454959531029552760,0.000
proximity,smartphone,1454959577703599688,8.000
proximity,smartphone,1454959595632378959,0.000
proximity,smartphone,1454959595715847135,8.000
proximity,smartphone,1454959649286851875,8.000
proximity,smartphone,1454959659202557187,0.000
proximity,smartphone,1454959659361539427,8.000
proximity,smartphone,1454959659439365469,0.000
proximity,smartphone,1454959659782124167,8.000
proximity,smartphone,1454959659848005261,0.000
proximity,smartphone,1454959778495598229,8.000
proximity,smartphone,1454959786651393906,0.000
proximity,smartphone,1454959831967678282,8.000
proximity,smartphone,1454959876056426041,8.000
proximity,smartphone,1454959887622995729,0.000
proximity,smartphone,1454959888668854271,0.000
proximity,smartphone,1454959889212551302,0.000
proximity,smartphone,1454959889690697761,8.000
proximity,smartphone,1454959898534771198,8.000
proximity,smartphone,1454960041307061042,0.000
proximity,smartphone,1454960042525914114,0.000
proximity,smartphone,1454960043375490052,0.000
proximity,smartphone,1454960043479307709,8.000
proximity,smartphone,1454960072246026145,0.000
proximity,smartphone,1454960287977545677,8.000
proximity,smartphone,1454960314311375833,0.000
proximity,smartphone,1454960315638725521,0.000
proximity,smartphone,1454960315760851094,8.000
proximity,smartphone,1454960316699561459,8.000
proximity,smartphone,1454960316764105678,0.000
proximity,smartphone,1454960317289752240,0.000
proximity,smartphone,1454960317489444323,8.000
proximity,smartphone,1454960317596175156,0.000
proximity,smartphone,1454960317899246249,8.000
proximity,smartphone,1454960320294722239,8.000
proximity,smartphone,1454960465527032188,0.000
proximity,smartphone,1454960465988231093,8.000
proximity,smartphone,1454960466329529584,8.000
proximity,smartphone,1454960466597945522,0.000
proximity,smartphone,1454960476243485416,0.000
proximity,smartphone,1454960476357629896,8.000
proximity,smartphone,1454960476996591302,0.000
proximity,smartphone,1454960634094481093,8.000
proximity,smartphone,1454960646971380001,0.000
proximity,smartphone,1454960647177148542,8.000
proximity,smartphone,1454960647864343801,0.000
proximity,smartphone,1454960652281805886,0.000
proximity,smartphone,1454961205364593281,8.000
proximity,smartphone,1454961208586254791,0.000
proximity,smartphone,1454961208797715625,8.000
proximity,smartphone,1454961368650659791,8.000
proximity,smartphone,1454961376588651302,0.000
proximity,smartphone,1454961477504414115,8.000
proximity,smartphone,1454961488397248802,0.000
proximity,smartphone,1454961763725191198,8.000
proximity,smartphone,1454961767952701770,0.000
proximity,smartphone,1454961768400094427,0.000
proximity,smartphone,1454961791566174270,8.000
proximity,smartphone,1454961800751157605,0.000
proximity,smartphone,1454961800978391303,8.000
proximity,smartphone,1454961801218454323,8.000
proximity,smartphone,1454961801802098177,0.000
proximity,smartphone,1454961802325048073,0.000
proximity,smartphone,1454961972420529947,8.000
proximity,smartphone,1454961981492513020,0.000
proximity,smartphone,1454961981703656249,8.000
proximity,smartphone,1454961998356274062,8.000
proximity,smartphone,1454961998490469583,0.000
proximity,smartphone,1454962053598989948,8.000
proximity,smartphone,1454962073418771563,0.000
proximity,smartphone,1454962073888810001,8.000
proximity,smartphone,1454962073924191666,0.000
proximity,smartphone,1454962368119887865,8.000
proximity,smartphone,1454962377076452447,0.000
proximity,smartphone,1454962512517513906,8.000
proximity,smartphone,1454962520310791823,0.000
proximity,smartphone,1454962550456695104,8.000
proximity,smartphone,1454962554035113072,0.000
proximity,smartphone,1454962571032018645,8.000
proximity,smartphone,1454962583974689219,0.000
proximity,smartphone,1454962657412790781,8.000
proximity,smartphone,1454962694222063125,8.000
proximity,smartphone,1454962698905871145,0.000
proximity,smartphone,1454962711615146198,0.000
proximity,smartphone,1454962711930644479,8.000
proximity,smartphone,1454962778900762083,8.000
proximity,smartphone,1454962814530325625,8.000
proximity,smartphone,1454962825014991458,0.000
proximity,smartphone,1454962825396819688,8.000
proximity,smartphone,1454962825655567291,0.000
proximity,smartphone,1454962825779581562,8.000
proximity,smartphone,1454962825876123803,0.000
proximity,smartphone,1454962906241753490,8.000
proximity,smartphone,1454962939026495936,0.000
proximity,smartphone,1454962980817608698,8.000
proximity,smartphone,1454962988089003386,0.000
proximity,smartphone,1454962991523856874,8.000
proximity,smartphone,1454962991591696198,0.000
proximity,smartphone,1454962992737045104,0.000
proximity,smartphone,1454962994797935573,0.000
proximity,smartphone,1454962995932433021,0.000
proximity,smartphone,1454963140010466406,8.000
proximity,smartphone,1454963140050388386,0.000
proximity,smartphone,1454963140580826458,8.000
proximity,smartphone,1454963140716254010,0.000
proximity,smartphone,1454963140826018646,8.000
proximity,smartphone,1454963150350631041,0.000
proximity,smartphone,1454963204794455573,8.000
proximity,smartphone,1454963981895686980,0.000
