sensor_type,device_type,timestamps,status
screen,smartphone,1454956313552000000,SCREEN_OFF
screen,smartphone,1454956363957000000,SCREEN_ON
screen,smartphone,1454956573616000000,SCREEN_OFF
screen,smartphone,1454956576233000000,SCREEN_ON
screen,smartphone,1454956789088000000,SCREEN_OFF
screen,smartphone,1454956809528000000,SCREEN_ON
screen,smartphone,1454956896588000000,SCREEN_OFF
screen,smartphone,1454957090968000000,SCREEN_ON
screen,smartphone,1454957173813000000,SCREEN_OFF
screen,smartphone,1454957303056000000,SCREEN_ON
screen,smartphone,1454957313507000000,SCREEN_OFF
screen,smartphone,1454957467586000000,SCREEN_ON
screen,smartphone,1454957494287000000,SCREEN_OFF
screen,smartphone,1454957675348000000,SCREEN_ON
screen,smartphone,1454957679099000000,SCREEN_OFF
screen,smartphone,1454957864390000000,SCREEN_ON
screen,smartphone,1454957871215000000,SCREEN_OFF
screen,smartphone,1454957914475000000,SCREEN_ON
screen,smartphone,1454957919838000000,SCREEN_OFF
screen,smartphone,1454957974563000000,SCREEN_ON
screen,smartphone,1454957981612000000,SCREEN_OFF
screen,smartphone,1454958292634000000,SCREEN_ON
screen,smartphone,1454958342166000000,SCREEN_OFF
screen,smartphone,1454958580014000000,SCREEN_ON
screen,smartphone,1454958594079000000,SCREEN_OFF
screen,smartphone,1454958830612000000,SCREEN_ON
screen,smartphone,1454958836139000000,SCREEN_OFF
screen,smartphone,1454958869900000000,SCREEN_ON
screen,smartphone,1454958884776000000,SCREEN_OFF
screen,smartphone,1454958888199000000,SCREEN_ON
screen,smartphone,1454958898261000000,SCREEN_OFF
screen,smartphone,1454959102462000000,SCREEN_ON
screen,smartphone,1454959110453000000,SCREEN_OFF
screen,smartphone,1454959305653000000,SCREEN_ON
screen,smartphone,1454959339076000000,SCREEN_OFF
screen,smartphone,1454959512668000000,SCREEN_ON
screen,smartphone,1454959523080000000,SCREEN_OFF
screen,smartphone,1454959523793000000,SCREEN_ON
screen,smartphone,1454959531135000000,SCREEN_OFF
screen,smartphone,1454959578995000000,SCREEN_ON
screen,smartphone,1454959596251000000,SCREEN_OFF
screen,smartphone,1454959649496000000,SCREEN_ON
screen,smartphone,1454959654037000000,SCREEN_OFF
screen,smartphone,1454959779527000000,SCREEN_ON
screen,smartphone,1454959785894000000,SCREEN_OFF
screen,smartphone,1454959832563000000,SCREEN_ON
screen,smartphone,1454959834905000000,SCREEN_OFF
screen,smartphone,1454959877175000000,SCREEN_ON
screen,smartphone,1454959886530000000,SCREEN_OFF
screen,smartphone,1454959888500000000,SCREEN_ON
screen,smartphone,1454959899118000000,SCREEN_OFF
screen,smartphone,1454960044303000000,SCREEN_ON
screen,smartphone,1454960072488000000,SCREEN_OFF
screen,smartphone,1454960288035000000,SCREEN_ON
screen,smartphone,1454960314451000000,SCREEN_OFF
screen,smartphone,1454960468920000000,SCREEN_ON
screen,smartphone,1454960477298000000,SCREEN_OFF
screen,smartphone,1454960635250000000,SCREEN_ON
screen,smartphone,1454960646502000000,SCREEN_OFF
screen,smartphone,1454960652404000000,SCREEN_ON
screen,smartphone,1454960662546000000,SCREEN_OFF
screen,smartphone,1454961205525000000,SCREEN_ON
screen,smartphone,1454961212043000000,SCREEN_OFF
screen,smartphone,1454961369623000000,SCREEN_ON
screen,smartphone,1454961376132000000,SCREEN_OFF
screen,smartphone,1454961477737000000,SCREEN_ON
screen,smartphone,1454961487623000000,SCREEN_OFF
screen,smartphone,1454961763672000000,SCREEN_ON
screen,smartphone,1454961768066000000,SCREEN_OFF
screen,smartphone,1454961792829000000,SCREEN_ON
screen,smartphone,1454961800304000000,SCREEN_OFF
screen,smartphone,1454961972454000000,SCREEN_ON
screen,smartphone,1454961980623000000,SCREEN_OFF
screen,smartphone,1454962055394000000,SCREEN_ON
screen,smartphone,1454962073550000000,SCREEN_OFF
screen,smartphone,1454962369822000000,SCREEN_ON
screen,smartphone,1454962376399000000,SCREEN_OFF
screen,smartphone,1454962513861000000,SCREEN_ON
screen,smartphone,1454962519734000000,SCREEN_OFF
screen,smartphone,1454962551972000000,SCREEN_ON
screen,smartphone,1454962553830000000,SCREEN_OFF
screen,smartphone,1454962572070000000,SCREEN_ON
screen,smartphone,1454962583577000000,SCREEN_OFF
screen,smartphone,1454962658449000000,SCREEN_ON
screen,smartphone,1454962695592000000,SCREEN_OFF
screen,smartphone,1454962697464000000,SCREEN_ON
screen,smartphone,1454962712160000000,SCREEN_OFF
screen,smartphone,1454962778852000000,SCREEN_ON
screen,smartphone,1454962782706000000,SCREEN_OFF
screen,smartphone,1454962815369000000,SCREEN_ON
screen,smartphone,1454962824700000000,SCREEN_OFF
screen,smartphone,1454962906773000000,SCREEN_ON
screen,smartphone,1454962939066000000,SCREEN_OFF
screen,smartphone,1454962982152000000,SCREEN_ON
screen,smartphone,1454962987775000000,SCREEN_OFF
screen,smartphone,1454963141740000000,SCREEN_ON
screen,smartphone,1454963150962000000,SCREEN_OFF
screen,smartphone,1454963236506000000,SCREEN_ON
screen,smartphone,1454963695916000000,SCREEN_OFF
