sensor_type,device_type,timestamps,ssid,bssid,frequency,level 
wlan,smartphone,1454956109131519419,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956109131494722,,9c:1c:12:24:27:19,5745.000,-59.000
wlan,smartphone,1454956109131435201,WLANh,9c:d6:43:2d:86:20,2412.000,-76.000
wlan,smartphone,1454956109131388461,WLANe,9c:d6:43:2d:86:21,2412.000,-77.000
wlan,smartphone,1454956112809811973,Google Starbucks,9c:1c:12:24:27:18,5745.000,-56.000
wlan,smartphone,1454956112809784587,,9c:1c:12:24:27:19,5745.000,-58.000
wlan,smartphone,1454956112810750931,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956112810722587,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956116437598131,WLANh,9c:d6:43:2d:86:20,2412.000,-72.000
wlan,smartphone,1454956116437552849,WLANe,9c:d6:43:2d:86:21,2412.000,-72.000
wlan,smartphone,1454956116437543245,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-87.000
wlan,smartphone,1454956120070035569,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956120070032747,,9c:1c:12:24:27:19,5745.000,-57.000
wlan,smartphone,1454956120069916903,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956120069890497,WLANe,9c:d6:43:2d:86:21,2412.000,-84.000
wlan,smartphone,1454956120069920434,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-86.000
wlan,smartphone,1454956120069863007,NorthstoneRE,00:71:c2:af:da:28,2412.000,-84.000
wlan,smartphone,1454956120069883049,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956120069804247,xfinitywifi,00:71:c2:af:da:2a,2412.000,-84.000
wlan,smartphone,1454956120069801549,xfinitywifi,00:71:c2:de:e5:22,2412.000,-88.000
wlan,smartphone,1454956123700143634,Google Starbucks,9c:1c:12:24:27:18,5745.000,-52.000
wlan,smartphone,1454956120070694571,,9c:1c:12:24:27:19,5745.000,-57.000
wlan,smartphone,1454956123700012123,WLANh,9c:d6:43:2d:86:20,2412.000,-79.000
wlan,smartphone,1454956123700017936,WLANe,9c:d6:43:2d:86:21,2412.000,-78.000
wlan,smartphone,1454956123700085373,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-89.000
wlan,smartphone,1454956123699999915,NorthstoneRE,00:71:c2:af:da:28,2412.000,-90.000
wlan,smartphone,1454956120070596175,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956120070524457,xfinitywifi,00:71:c2:af:da:2a,2412.000,-84.000
wlan,smartphone,1454956120070528790,xfinitywifi,00:71:c2:de:e5:22,2412.000,-88.000
wlan,smartphone,1454956123699963800,,9c:1c:12:24:27:11,2412.000,-59.000
wlan,smartphone,1454956123699932175,Google Starbucks,9c:1c:12:24:27:10,2412.000,-59.000
wlan,smartphone,1454956138645561587,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956138645509733,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956138645494326,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956138645496483,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956138645452858,NorthstoneRE,00:71:c2:af:da:28,2412.000,-89.000
wlan,smartphone,1454956138645441649,,9c:1c:12:24:27:11,2412.000,-55.000
wlan,smartphone,1454956138645417899,Google Starbucks,9c:1c:12:24:27:10,2412.000,-56.000
wlan,smartphone,1454956142290092286,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956142290028005,WLANh,9c:d6:43:2d:86:20,2412.000,-78.000
wlan,smartphone,1454956142289969495,WLANe,9c:d6:43:2d:86:21,2412.000,-78.000
