"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.530000002E-3,-9.071136475E-2,4.715194702E-2,9.868528290E0
1.326500000E-2,-1.305285645E-1,-8.981323242E-4,9.834698639E0
2.300000000E-2,-1.128652954E-1,-2.095642090E-2,9.869725800E0
3.273500000E-2,-9.879455566E-2,-5.463638306E-2,9.867181091E0
4.247100001E-2,-9.669891357E-2,-4.490661621E-2,9.850266266E0
5.220600001E-2,-2.439926147E-2,-1.886077881E-2,9.874066772E0
6.191000000E-2,9.879455566E-3,2.664459229E-2,9.862241364E0
7.164500000E-2,3.682342529E-2,5.328918457E-2,9.861642609E0
8.138100001E-2,4.296066284E-2,7.200027466E-2,9.828711090E0
9.111600001E-2,3.861968994E-2,5.763015747E-2,9.853559418E0
1.008510000E-1,4.490661621E-3,4.790039063E-2,9.849966888E0
1.105860000E-1,-1.511856079E-2,1.526824951E-2,9.877210236E0
1.203210000E-1,-1.811233521E-2,-1.422042847E-2,9.864337006E0
1.300560000E-1,-6.346801758E-2,-2.020797729E-2,9.876910858E0
1.397910000E-1,-1.457968140E-1,6.511459351E-2,9.836644592E0
1.495260000E-1,-1.712438965E-1,7.649093628E-2,9.862241364E0
1.592610000E-1,-1.760339355E-1,8.831634521E-2,9.885742493E0
1.689960000E-1,-1.362167358E-1,6.062393188E-2,9.828561401E0
1.787320000E-1,-9.879455566E-2,2.170486450E-2,9.867181091E0
1.884670000E-1,-4.775070190E-2,-1.676513672E-2,9.869576111E0
1.982020000E-1,2.649490356E-2,-3.382965088E-2,9.831106110E0
2.079370000E-1,1.631607056E-2,-2.395019531E-2,9.869725800E0
2.176720000E-1,5.957611084E-2,-1.541793823E-2,9.846524048E0
2.274070000E-1,4.745132446E-2,2.499801636E-2,9.840386810E0
2.371420000E-1,4.251159668E-2,2.604583740E-2,9.862091675E0
2.468770000E-1,3.412902832E-2,7.768844604E-2,9.843081207E0
2.566120000E-1,-4.535568237E-2,9.864486694E-2,9.845625916E0
2.663480000E-1,-6.706054688E-2,8.457412720E-2,9.855205994E0
2.760830000E-1,-1.237925720E-1,3.742218018E-2,9.856104126E0
2.858180000E-1,-1.248403931E-1,2.350112915E-2,9.862540741E0
2.955530000E-1,-1.384620667E-1,-1.586700439E-2,9.890083466E0
3.052880000E-1,-1.351689148E-1,-3.577560425E-2,9.869875488E0
3.150230000E-1,-1.151106262E-1,-1.901046753E-2,9.874815216E0
3.247580000E-1,-5.538482666E-2,9.280700684E-3,9.848769379E0
3.344930000E-1,-3.188369751E-2,4.400848389E-2,9.852212219E0
3.442280000E-1,2.305206299E-2,9.026229858E-2,9.892179108E0
3.539640000E-1,1.182540894E-2,7.723937988E-2,9.850116577E0
3.636990000E-1,2.978805542E-2,4.580474854E-2,9.835596771E0
3.734340000E-1,2.529739380E-2,1.886077881E-2,9.874964905E0
3.831690000E-1,2.095642090E-3,-1.511856079E-2,9.853709106E0
3.929040000E-1,-2.739303589E-2,-2.574645996E-2,9.860295410E0
