"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.613980000E-1,-7.973285392E-5,8.660890162E-4,-8.029628079E-4
1.713770000E-1,2.007386647E-3,-3.640260547E-4,-9.976397268E-4
1.813870000E-1,-5.129948258E-4,1.096598804E-3,-6.792065687E-5
1.913660000E-1,8.790395223E-4,1.263579354E-3,-1.551301451E-3
2.013760000E-1,9.216523729E-3,-6.300365552E-3,3.833880182E-4
2.113850000E-1,6.536953151E-5,6.001498550E-4,1.751286909E-4
2.213650000E-1,-1.397618093E-3,4.703979939E-4,-1.225688029E-4
2.313740000E-1,-8.867401630E-5,2.050451934E-3,-1.278646989E-3
2.413540000E-1,-5.651540123E-4,2.561094239E-3,-2.132039517E-4
2.513630000E-1,9.850552306E-5,-4.493445158E-4,1.287221094E-3
2.613730000E-1,-4.752520472E-4,7.181279361E-4,9.293360636E-4
2.713520000E-1,1.280836761E-3,4.139952362E-4,8.550337516E-4
2.813620000E-1,1.668697223E-4,7.576942444E-4,-2.637505531E-4
2.913410000E-1,3.458340652E-4,5.374513566E-4,5.370618310E-4
3.013510000E-1,3.983967006E-3,-6.631072611E-4,1.290124608E-3
3.113300000E-1,2.785543911E-3,-3.877375275E-4,9.697463829E-4
3.213400000E-1,7.074512541E-4,5.127955228E-4,-6.087177899E-4
3.313500000E-1,1.645416953E-3,-1.191895455E-3,1.009951578E-3
3.413290000E-1,9.716209024E-5,3.607850522E-4,-5.903870333E-4
3.513390000E-1,1.740599051E-3,-7.484219968E-4,1.447197516E-3
3.613180000E-1,-1.240101177E-3,-1.381633803E-3,-4.335530102E-4
3.713280000E-1,-4.274398088E-5,-9.133294225E-5,5.169291981E-4
3.813380000E-1,1.789697912E-3,-3.620982170E-6,-2.225770149E-4
3.913170000E-1,1.107928809E-3,5.575064570E-4,-5.504123401E-4
4.013270000E-1,1.581488643E-3,-3.063976765E-4,-3.035832196E-5
4.113060000E-1,3.206171095E-5,1.762611791E-3,7.033424918E-4
4.212871250E-1,1.892762724E-3,3.545731306E-4,-3.482424654E-5
4.312971250E-1,1.934308093E-3,1.114374027E-3,-1.484915614E-3
4.412761250E-1,-4.901154898E-4,-4.762709141E-4,6.946497597E-4
4.512861250E-1,4.784758203E-4,-9.524449706E-4,6.517728325E-4
4.612651250E-1,4.673982039E-4,3.405716270E-4,-1.463964116E-3
4.712751250E-1,1.080458052E-3,-1.316713169E-3,-6.010998040E-4
4.812841250E-1,3.956956789E-5,6.928443909E-4,1.242304686E-3
4.912641250E-1,2.925370354E-3,-1.898145303E-3,9.885055479E-4
