"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.613980000E-1,-1.187739708E-1,6.791854355E-2,7.593077302E-2
1.713770000E-1,-7.899957452E-2,4.006736917E-2,1.874968171E-2
1.813870000E-1,-4.154700710E-2,1.104776580E-3,5.736995637E-2
1.913660000E-1,9.447245831E-3,-3.753925468E-2,5.976497591E-2
2.013760000E-1,8.325050944E-2,-5.521687453E-2,2.129380524E-2
2.113850000E-1,7.306112403E-2,-4.540351077E-2,5.991349518E-2
2.213650000E-1,1.163077157E-1,-3.679100065E-2,3.671115875E-2
2.313740000E-1,1.042726110E-1,3.633850382E-3,3.057450593E-2
2.413540000E-1,9.944996458E-2,4.690483364E-3,5.227995515E-2
2.513630000E-1,1.456060211E-1,2.828896637E-2,3.383900642E-2
2.613730000E-1,6.070746484E-2,6.053670330E-2,3.627320230E-2
2.713520000E-1,2.200750359E-2,6.222227742E-2,4.563576400E-2
2.813620000E-1,-6.065273399E-2,2.765152165E-2,4.631228685E-2
2.913410000E-1,-7.624081249E-2,1.983894947E-2,5.266177833E-2
3.013510000E-1,-1.065997754E-1,-1.678706149E-2,8.013550580E-2
3.113300000E-1,-1.139724291E-1,-4.011577316E-2,5.989946187E-2
3.213400000E-1,-1.014284065E-1,-2.599917388E-2,6.482749522E-2
3.313500000E-1,-4.674320381E-2,-5.292864206E-3,3.878399670E-2
3.413290000E-1,-1.968516313E-2,2.133419214E-2,4.224613309E-2
3.513390000E-1,3.999908009E-2,6.214296542E-2,8.223407149E-2
3.613180000E-1,3.725372326E-2,4.848570148E-2,4.019142151E-2
3.713280000E-1,6.253134388E-2,1.740054633E-2,2.569266558E-2
3.813380000E-1,6.525423232E-2,-6.631900573E-3,6.507951021E-2
3.913170000E-1,4.819437310E-2,-3.676182853E-2,4.384125352E-2
4.013270000E-1,2.286754679E-2,-4.506235771E-2,5.044334471E-2
4.113060000E-1,-2.624668926E-3,-2.788822196E-2,7.184941649E-2
4.212871250E-1,-3.206949736E-2,-1.696277261E-3,3.143170774E-2
4.312971250E-1,-4.113941048E-2,-8.253207849E-3,5.582102895E-2
4.412761250E-1,-7.286562603E-2,3.588738200E-2,4.204381943E-2
4.512861250E-1,-6.404784210E-2,2.801467714E-2,4.710867763E-2
4.612651250E-1,-3.632599855E-2,3.077410155E-3,5.772605181E-2
4.712751250E-1,2.663467029E-2,4.044697224E-4,4.140413404E-2
4.812841250E-1,-6.142225955E-4,-2.768575755E-2,5.277989209E-2
4.912641250E-1,2.673909334E-2,-3.910683610E-2,3.721869707E-2
5.012731250E-1,2.318637536E-2,-9.705466640E-3,3.602761924E-2
5.112531250E-1,1.903193777E-2,3.611439558E-2,5.714834690E-2
5.212621250E-1,-6.724905563E-3,3.435174100E-2,4.174444199E-2
5.312721250E-1,-1.293520133E-2,5.168919451E-2,3.771337152E-2
5.412511250E-1,-1.964118567E-2,2.464916371E-2,7.169680417E-2
5.512611250E-1,-3.234452206E-2,-8.864255589E-3,6.181150138E-2
5.612401250E-1,-4.932792437E-2,-2.146937246E-2,6.510172963E-2
