"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.666509867E-1,5.233443037E1,4.866594162E0,-7.045514584E-1,-1.000000000E0,-1.000000000E0,4.776360550E2,4.776360550E2
5.909880400E-1,5.233446965E1,4.866537444E0,-6.155250072E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.440006018E0,5.233449814E1,4.866587507E0,-5.422295928E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.244541407E1,5.233451914E1,4.866605625E0,-4.581983387E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.289006007E1,5.233446656E1,4.866534909E0,3.857688904E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.389003801E1,5.233446656E1,4.866534909E0,3.896751404E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.489001012E1,5.233446656E1,4.866534909E0,3.905906677E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.588998055E1,5.233446656E1,4.866534909E0,3.933372498E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.688995194E1,5.233446656E1,4.866534909E0,3.998069763E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.788992143E1,5.233446656E1,4.866534909E0,3.924827576E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.888989031E1,5.233445256E1,4.866607748E0,3.868064880E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
1.988985920E1,5.233445256E1,4.866607748E0,3.799095154E-1,0.000000000E0,-1.000000000E0,1.000000000E2,1.000000000E2
2.088982642E1,5.233445256E1,4.866607748E0,3.805809021E-1,0.000000000E0,-1.000000000E0,1.000000000E2,1.000000000E2
2.188979435E1,5.233445256E1,4.866607748E0,3.832664490E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.288976228E1,5.233445256E1,4.866607748E0,3.846702576E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.388972962E1,5.233445256E1,4.866607748E0,3.891258240E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.488969493E1,5.233445256E1,4.866607748E0,3.874168396E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
