"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.613980000E-1,-1.126095581E1,-2.578628540E1,-5.523944092E1
1.713770000E-1,-1.126095581E1,-2.578628540E1,-5.523944092E1
1.813870000E-1,-1.111274719E1,-2.566543770E1,-5.534710693E1
1.913660000E-1,-1.111274719E1,-2.566543770E1,-5.534710693E1
2.013760000E-1,-1.127616882E1,-2.573379898E1,-5.530078125E1
2.113850000E-1,-1.127616882E1,-2.573379898E1,-5.530078125E1
2.213650000E-1,-1.152848816E1,-2.587719727E1,-5.528430176E1
2.313740000E-1,-1.152848816E1,-2.587719727E1,-5.528430176E1
2.413540000E-1,-1.091735840E1,-2.599136353E1,-5.519171143E1
2.513630000E-1,-1.091735840E1,-2.599136353E1,-5.519171143E1
2.613730000E-1,-1.159906006E1,-2.606317139E1,-5.535968018E1
2.713520000E-1,-1.159906006E1,-2.606317139E1,-5.535968018E1
2.813620000E-1,-1.131936646E1,-2.612974548E1,-5.552465820E1
2.913410000E-1,-1.131936646E1,-2.612974548E1,-5.552465820E1
3.013510000E-1,-1.119601440E1,-2.596418571E1,-5.536651611E1
3.113300000E-1,-1.119601440E1,-2.596418571E1,-5.536651611E1
3.213400000E-1,-1.144602203E1,-2.593357849E1,-5.535919189E1
3.313500000E-1,-1.144602203E1,-2.593357849E1,-5.535919189E1
3.413290000E-1,-1.156317902E1,-2.596778107E1,-5.540893555E1
3.513390000E-1,-1.156317902E1,-2.596778107E1,-5.540893555E1
3.613180000E-1,-1.170939636E1,-2.611198616E1,-5.524005127E1
3.713280000E-1,-1.170939636E1,-2.611198616E1,-5.524005127E1
3.813380000E-1,-1.151432800E1,-2.596276474E1,-5.530212402E1
3.913170000E-1,-1.151432800E1,-2.596276474E1,-5.530212402E1
4.013270000E-1,-1.132577515E1,-2.593396187E1,-5.537670898E1
4.113060000E-1,-1.132577515E1,-2.593396187E1,-5.537670898E1
4.212871250E-1,-1.137155151E1,-2.587864494E1,-5.537426758E1
4.312971250E-1,-1.137155151E1,-2.587864494E1,-5.537426758E1
4.412761250E-1,-1.137631226E1,-2.588023376E1,-5.542291260E1
4.512861250E-1,-1.137631226E1,-2.588023376E1,-5.542291260E1
4.612651250E-1,-1.158792114E1,-2.571916771E1,-5.546734619E1
4.712751250E-1,-1.158792114E1,-2.571916771E1,-5.546734619E1
4.812841250E-1,-1.136100769E1,-2.600683784E1,-5.539086914E1
4.912641250E-1,-1.136100769E1,-2.600683784E1,-5.539086914E1
5.012731250E-1,-1.104542542E1,-2.585161591E1,-5.563177490E1
5.112531250E-1,-1.104542542E1,-2.585161591E1,-5.563177490E1
5.212621250E-1,-1.142214966E1,-2.582891846E1,-5.539849854E1
5.312721250E-1,-1.142214966E1,-2.582891846E1,-5.539849854E1
5.412511250E-1,-1.123581696E1,-2.593904305E1,-5.553295898E1
5.512611250E-1,-1.123581696E1,-2.593904305E1,-5.553295898E1
5.612401250E-1,-1.151053619E1,-2.586239815E1,-5.515454102E1
5.712501250E-1,-1.151053619E1,-2.586239815E1,-5.515454102E1
5.812601250E-1,-1.127503967E1,-2.590852165E1,-5.535626221E1
