sensor_type,device_type,label,label_start,label_start_datetime,label_end,label_end_datetime
interval_label,smartphone,Walk,1454956132985999872.000,06/09/2022 21:16:21,1454956366574000128.000,06/09/2022 21:19:51
interval_label,smartphone,Sit,1454956393088000000.000,06/09/2022 21:20:54,1454956578385999872.000,06/09/2022 21:24:38
interval_label,smartphone,Run,1454956608515000064.000,06/09/2022 21:25:10,1454956813323000064.000,06/09/2022 21:27:29
interval_label,smartphone,Walk,1454956894057999872.000,06/09/2022 21:27:43,1454957092968000000.000,06/09/2022 21:31:05
interval_label,smartphone,On Table,1454957171503000064.000,06/09/2022 21:31:20,1454957470420000000.000,06/09/2022 21:33:53
interval_label,smartphone,Boxing,1454957491454000128.000,06/09/2022 21:34:03,1454957677281999872.000,06/09/2022 21:36:08
interval_label,smartphone,Walk,1454957869023000064.000,06/09/2022 21:36:38,1454957916644000000.000,06/09/2022 21:39:30
interval_label,smartphone,Clean,1454957979222000128.000,06/09/2022 21:39:43,1454958295070000128.000,06/09/2022 21:44:50
interval_label,smartphone,Run,1454958337896999936.000,06/09/2022 21:46:43,1454958582488999936.000,06/09/2022 21:48:48
interval_label,smartphone,Fold Clothes,1454958591484000000.000,06/09/2022 21:49:18,1454958832881999872.000,06/09/2022 21:52:01
interval_label,smartphone,On Table,1454958881535000064.000,06/09/2022 21:52:13,1454959104660000000.000,06/09/2022 21:53:27
