Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654684622676401920,52.33443037,4.866594162,-0.7045514584,-1.0,-1.0,477.636055,477.636055
1654684623267390208,52.33446965,4.8665374439999995,-0.6155250072,-1.0,-1.0,65.0,65.0
1654684629707396352,52.33449814,4.866587507,-0.5422295928,-1.0,-1.0,65.0,65.0
1654684642152810240,52.33451914,4.866605625,-0.4581983387,-1.0,-1.0,65.0,65.0
1654684655042870528,52.33446656,4.866534908999999,0.3857688904,0.0,-1.0,50.0,50.0
1654684668932908544,52.33446656,4.866534908999999,0.3896751404,0.0,-1.0,50.0,50.0
1654684683822918656,52.33446656,4.866534908999999,0.39059066770000006,0.0,-1.0,50.0,50.0
1654684699712899072,52.33446656,4.866534908999999,0.39333724979999996,0.0,-1.0,50.0,50.0
1654684716602851328,52.33446656,4.866534908999999,0.3998069763,0.0,-1.0,50.0,50.0
1654684734492772608,52.33446656,4.866534908999999,0.39248275759999995,0.0,-1.0,50.0,50.0
1654684753382662912,52.33445256,4.866607748,0.38680648799999995,0.0,-1.0,50.0,50.0
1654684773272521984,52.33445256,4.866607748,0.3799095154,0.0,-1.0,100.0,100.0
1654684794162348544,52.33445256,4.866607748,0.3805809021,0.0,-1.0,100.0,100.0
1654684816052142848,52.33445256,4.866607748,0.383266449,0.0,-1.0,50.0,50.0
1654684838941904896,52.33445256,4.866607748,0.38467025759999995,0.0,-1.0,50.0,50.0
1654684862831634688,52.33445256,4.866607748,0.389125824,0.0,-1.0,50.0,50.0
1654684887721329664,52.33445256,4.866607748,0.3874168396,0.0,-1.0,50.0,50.0
1654684913610991104,52.33445256,4.866607748,0.3889427185,0.0,-1.0,50.0,50.0
1654684940500618752,52.33445256,4.866607748,0.3893699646,0.0,-1.0,50.0,50.0
1654684968390211840,52.33445914,4.866682347,0.3867454529,0.0,-1.0,50.0,50.0
1654684997279770112,52.33445914,4.866682347,0.3926048279,0.0,-1.0,50.0,50.0
1654685027169294848,52.33445914,4.866682347,0.3945579529,0.0,-1.0,50.0,50.0
1654685058058782720,52.33445914,4.866682347,0.3960838318,0.0,-1.0,50.0,50.0
1654685089948235520,52.33445914,4.866682347,0.3966331482,0.0,-1.0,50.0,50.0
1654685122837652480,52.33445914,4.866682347,0.3998680115,0.0,-1.0,50.0,50.0
1654685156727034112,52.33445914,4.866682347,0.401638031,0.0,-1.0,50.0,50.0
1654685191616379392,52.33445914,4.866682347,0.4031639099,0.0,-1.0,50.0,50.0
1654685227505688320,52.33445914,4.866682347,0.40676498409999995,0.0,-1.0,50.0,50.0
1654685264394960896,52.33445914,4.866682347,0.4098777771,0.0,-1.0,50.0,50.0
1654685302284196864,52.33445914,4.866682347,0.41555404659999995,0.0,-1.0,50.0,50.0
1654685341173396736,52.33445914,4.866682347,0.415309906,0.0,-1.0,50.0,50.0
1654685381062560256,52.33445914,4.866682347,0.4117698669,0.0,-1.0,50.0,50.0
1654685421951685888,52.33445914,4.866682347,0.4051170349,0.0,-1.0,50.0,50.0
1654685463840774912,52.33445914,4.866682347,0.40774154659999995,0.0,-1.0,50.0,50.0
1654685506729826560,52.33445914,4.866682347,0.4105491638,0.0,-1.0,50.0,50.0
1654685550618840576,52.33445914,4.866682347,0.409450531,0.0,-1.0,50.0,50.0
1654685595507816960,52.33445914,4.866682347,0.4065208435,0.0,-1.0,50.0,50.0
1654685641396755712,52.33445914,4.866682347,0.40169906619999995,0.0,-1.0,50.0,50.0
1654685688285657344,52.33445914,4.866682347,0.3941917419,0.0,-1.0,50.0,50.0
1654685736174520576,52.33445914,4.866682347,0.39291000369999995,0.0,-1.0,50.0,50.0
1654685785063347712,52.33445914,4.866682347,0.3879051208,0.0,-1.0,50.0,50.0
1654685834952136448,52.33445914,4.866682347,0.3894920349,0.0,-1.0,50.0,50.0
1654685885840953856,52.33445914,4.866682347,0.3874168396,0.0,-1.0,50.0,50.0
1654685937729666816,52.33445914,4.866682347,0.3880882263,0.0,-1.0,50.0,50.0
1654685990618341376,52.33445914,4.866682347,0.3854637146,0.0,-1.0,50.0,50.0
1654686044506977280,52.33445914,4.866682347,0.3842430115,0.0,-1.0,50.0,50.0
1654686099395576320,52.33445914,4.866682347,0.38943099979999996,0.0,-1.0,50.0,50.0
1654686155284136704,52.33445914,4.866682347,0.39638900759999995,0.0,-1.0,50.0,50.0
1654686212172659456,52.33445914,4.866682347,0.3951683044,0.0,-1.0,50.0,50.0
1654686270061142784,52.33445914,4.866682347,0.39931869509999995,0.0,-1.0,50.0,50.0
