Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654802181449469952,50.08356591,14.4658687,250.9866714,-1.0,-1.0,106.33333329999999,106.33333329999999
1654802181449469952,50.08355961,14.46584975,250.97283169999997,-1.0,-1.0,106.33333329999999,106.33333329999999
1654802181892786944,50.08354346,14.46587682,250.97945019999997,-1.0,-1.0,35.0,35.0
1654802187944089088,50.08353791,14.46582066,251.06681060000003,-1.0,-1.0,106.33333329999999,106.33333329999999
1654802188332335104,50.0834235,14.46580078,251.08100890000003,-1.0,-1.0,35.0,35.0
1654802194393332992,50.08348332,14.46579036,251.09415440000004,-1.0,-1.0,106.33333329999999,106.33333329999999
1654802194852015104,50.08357865,14.46590662,251.1429367,-1.0,-1.0,35.0,35.0
1654802200895450112,50.08360239,14.46587393,251.0615921,-1.0,-1.0,78.67003176,78.67003176
1654802201406466048,50.08356315,14.46592834,251.0266647,-1.0,-1.0,35.0,35.0
1654802207513593088,50.08357753,14.46588356,250.9944534,-1.0,-1.0,67.92290388,67.92290388
1654802207999145984,50.08354228,14.46584477,250.9823036,-1.0,-1.0,35.0,35.0
1654802211490560000,50.08356278,14.46592674,250.9718781,-1.0,-1.0,35.0,35.0
1654802217524615936,50.0835773,14.46593346,250.9639511,-1.0,-1.0,56.22687267,56.22687267
1654802217902294016,50.08354635,14.46586393,250.9604836,-1.0,-1.0,35.0,35.0
1654802223923600896,50.08355903,14.4658672,250.9572983,-1.0,-1.0,55.04835815,55.04835815
1654802223994849280,50.08373039,14.46606349,254.9686509,1.230000019,-1.0,79.89408194,79.89408194
1654802224995173632,50.08372255,14.46608042,255.1480332,1.230000019,-1.0,84.24336749,84.24336749
1654802225995439616,50.08371505,14.4660971,255.30214700000002,1.230000019,-1.0,88.91315312,88.91315312
1654802226995737856,50.08370738,14.46611269,255.43196880000002,1.230000019,-1.0,93.8962215,93.8962215
1654802227995969280,50.08369954,14.46612745,255.53926859999999,1.230000019,-1.0,99.18375897,99.18375897
1654802228996235520,50.08369162,14.46614144,255.6260605,1.230000019,-1.0,104.7660417,104.7660417
1654802229996438784,50.08368362,14.46615502,255.69454199999998,1.230000019,-1.0,110.63291129999999,110.63291129999999
1654802231012416512,50.08367553,14.4661681,255.7472764,1.230000019,-1.0,116.77474440000002,116.77474440000002
1654802241021216512,50.08340955,14.46590006,251.23725090000002,1.172545035,-1.0,47.27315622,47.27315622
1654802242017455872,50.08340097,14.46590855,250.729965,1.171826828,-1.0,53.4606627,53.4606627
1654802243014902784,50.08339217,14.465917,250.57541040000004,1.170170322,-1.0,60.05270575,60.05270575
1654802244015537920,50.08352012,14.46595936,250.5748741,1.01779181,-1.0,36.74692467,36.74692467
1654802245022454016,50.08352551,14.46597221,250.42604330000003,1.009445705,-1.0,41.78856829,41.78856829
1654802246017790208,50.08354186,14.46606217,250.3694372,1.962069621,67.43303701,42.38081815,42.38081815
1654802247014403072,50.08354557,14.46607094,250.58438969999997,1.4328076180000002,65.08523442,44.31769724,44.31769724
1654802247998882304,50.08352834,14.46600246,250.55731490000002,0.8094809548,-1.0,47.12728903,47.12728903
1654802248998956288,50.08353936,14.46601357,250.5905397,0.6177248595,-1.0,48.12568753,48.12568753
1654802249999026944,50.0835311,14.46600397,250.5035097,0.5093433204,-1.0,50.25266738,50.25266738
1654802250999094784,50.08348958,14.46599618,250.47156969999998,0.46293642329999996,-1.0,51.76900318,51.76900318
1654802251999159040,50.08347974,14.46598079,250.6316696,0.6703204135,-1.0,41.52909757,41.52909757
1654802252999221504,50.08352845,14.46592829,250.53163790000002,0.3109010755,-1.0,24.56264412,24.56264412
1654802253999279360,50.0835108,14.46592309,250.64210980000001,0.260245613,-1.0,20.14596105,20.14596105
1654802254999335936,50.0834713,14.46600313,250.64601800000003,0.0,80.69894843,16.74596916,16.74596916
1654802255999390464,50.08347094,14.46600412,250.59539069999997,0.0,80.69894918,13.4075772,13.4075772
1654802256999441664,50.08346956,14.46600036,250.5334369,0.0,80.6989463,13.73344989,13.73344989
1654802257999492096,50.08347092,14.46599963,250.55036580000004,0.0,80.69894574,14.58418944,14.58418944
1654802258999540736,50.08346803,14.46599917,250.5119522,0.0,80.6989454,16.18450703,16.18450703
1654802259999586304,50.08346793,14.46600063,250.5437952,0.0,80.69894651,18.20638136,18.20638136
1654802260999631104,50.08346896,14.46600602,250.5035738,0.0,80.69895065,21.18500973,21.18500973
1654802261999674112,50.08346846,14.46601398,250.45439419999997,0.0,80.69895675,24.41865263,24.41865263
1654802262999714816,50.08347025,14.46602039,250.4262264,0.0,80.69896167,28.52832804,28.52832804
1654802264019321344,50.08346915,14.46602098,250.3986636,0.0,80.69896212,30.56834048,30.56834048
1654802264999793920,50.08343937,14.46600658,256.8116684,0.49000000950000006,309.7265625,47.34983269,47.34983269
1654802265999831808,50.08343937,14.46600658,256.8116685,0.49000000950000006,-1.0,47.34983269,47.34983269
1654802266999868160,50.08345014,14.46599518,260.770958,0.75,-1.0,59.02171765,59.02171765
1654802267999904512,50.08346066,14.46599954,260.55794530000003,0.5299999714,-1.0,61.99098231,61.99098231
1654802268999941888,50.08346292,14.46600524,261.33138280000003,0.0,-1.0,66.3070798,66.3070798
1654802269999971584,50.08346397,14.4660189,261.1081162,0.30000001190000003,-1.0,72.94297519,72.94297519
1654802271000003840,50.08346531,14.4660324,261.10958109999996,0.30000001190000003,-1.0,80.31993429,80.31993429
1654802272000038656,50.08346611,14.4660448,261.0788804,0.30000001190000003,-1.0,88.15799704,88.15799704
1654802273000067072,50.08346686,14.46605561,261.0108262,0.30000001190000003,-1.0,96.46384072,96.46384072
1654802274019343616,50.08346774,14.466065,260.9031602,0.30000001190000003,-1.0,105.22064270000001,105.22064270000001
1654802275019345408,50.08352551,14.46592311,250.44762889999998,0.0,80.69888701,25.21112649,25.21112649
1654802276019357696,50.08352635,14.46592995,250.4490732,0.0,80.69889226,29.65182301,29.65182301
1654802277019312128,50.08352168,14.46588838,250.51235209999996,0.0,80.69886038,30.82366525,30.82366525
1654802278020328192,50.08351882,14.46587205,250.4728466,0.0,80.69884786,33.14579836,33.14579836
1654802279000238080,50.08351657,14.46587307,250.51386290000002,0.0,80.69884863,38.45596615,38.45596615
1654802280000264960,50.08351816,14.46587708,250.5100165,0.0,80.69885171,42.65386664,42.65386664
1654802281000291584,50.08351832,14.46586754,250.3929546,0.0,80.69884439,45.5154247,45.5154247
1654802282000317184,50.08351678,14.46586535,250.5804315,0.0,80.69884272,49.91296135,49.91296135
1654802283000342528,50.08349999,14.46583888,250.5135307,0.0,80.69882242,54.21576117,54.21576117
1654802284000367104,50.08342189,14.46586422,250.4952211,0.0,80.69884191,54.38520561,54.38520561
1654802285000392192,50.0833731,14.46587909,250.3662074,0.0,80.69885335,53.13775112,53.13775112
1654802286000417024,50.08311442,14.46597451,250.3282673,2.864835303,151.0689709,49.2393256,49.2393256
1654802287000440320,50.08315351,14.46597233,250.45829840000002,2.165910064,155.1288314,46.21259821,46.21259821
1654802288000463872,50.0832184,14.46596041,250.13268250000002,0.0,155.5522706,28.19571689,28.19571689
1654802289000486912,50.08324702,14.46598168,250.191641,0.0,155.55228490000002,17.39168697,17.39168697
1654802290000511232,50.08325099,14.46597036,250.01929280000002,0.0,155.55227659999997,17.30668321,17.30668321
1654802291000533504,50.08324691,14.46596918,250.1204144,0.0,155.5522759,16.44670337,16.44670337
1654802292000556032,50.08324276,14.4659701,250.0901401,0.0,155.5522767,17.56608964,17.56608964
1654802293000578304,50.08324039,14.46597107,249.87097409999998,0.0,155.5522775,19.33196571,19.33196571
1654802294000601600,50.08322899,14.46597201,249.957811,0.0,155.5522786,21.68681535,21.68681535
1654802295000623104,50.0832199,14.46596625,249.8748722,0.0,155.55227480000002,24.57849665,24.57849665
1654802296000644608,50.08321203,14.46597408,249.85069,0.0,155.55228069999998,28.10412223,28.10412223
1654802297000666368,50.08320579,14.46598164,249.881547,0.0,155.55228630000002,31.43759053,31.43759053
1654802298000688128,50.08320405,14.46599383,250.13312799999997,0.0,155.55229509999998,35.87828952,35.87828952
1654802299000710400,50.08320091,14.46599141,249.9475044,0.0,155.55229350000002,40.76940217,40.76940217
1654802300000731648,50.08320057,14.4660007,250.1260275,0.0,155.5523002,46.09860963,46.09860963
1654802301000752128,50.08320218,14.46600006,249.7025165,0.0,155.5522997,52.30554916,52.30554916
1654802302000773888,50.08321518,14.46601122,250.01954869999997,0.0,155.5523072,56.41931435,56.41931435
1654802303000794112,50.08322292,14.46607058,249.7991434,0.0,155.5523496,53.67589732,53.67589732
1654802304000815360,50.083216,14.46603532,249.72267209999998,0.0,155.5523245,57.8131726,57.8131726
1654802305000836608,50.08320404,14.46604126,249.7701941,0.0,155.5523292,63.15641686,63.15641686
1654802306000856320,50.08319801,14.46604456,249.86051030000002,0.0,155.55233180000002,69.165435,69.165435
1654802307000877056,50.0831993,14.46604699,249.83159269999996,0.0,155.5523335,74.94353329,74.94353329
1654802308000897280,50.08320074,14.46604842,249.8663426,0.0,155.5523344,81.53814359,81.53814359
1654802309000918016,50.08343939,14.46596954,249.7639395,0.0,155.5522695,54.8352899,54.8352899
1654802310018607104,50.08345819,14.46589558,249.8424429,0.0,155.5522158,30.45935634,30.45935634
1654802311017729280,50.08345737,14.46587626,250.22988519999998,0.0,155.5522019,34.70127605,34.70127605
1654802312013545216,50.08346217,14.46587733,250.3799274,0.0,155.5522025,38.85487408,38.85487408
1654802313018823168,50.08345644,14.46588934,250.37033799999998,0.0,155.5522113,44.38693537,44.38693537
1654802314023773696,50.08344498,14.46590152,250.02930350000003,0.0,155.5522205,49.97067835,49.97067835
1654802315018863104,50.08344401,14.4659091,250.1303994,0.0,155.552226,53.44277018,53.44277018
1654802316018739712,50.0834392,14.46588949,250.15882819999996,0.0,155.5522121,49.63965515,49.63965515
1654802317001079040,50.08343132,14.46591066,250.0782667,0.0,155.5522275,54.88956448,54.88956448
1654802318001099520,50.08341831,14.46594294,250.0918141,0.0,155.5522512,59.9447049,59.9447049
1654802319001118976,50.08340445,14.4659379,250.31544449999998,0.0,155.552248,64.38823384,64.38823384
1654802320001138176,50.08340696,14.46587623,250.19848969999998,0.0,155.55220359999998,67.57465052,67.57465052
1654802321001157888,50.08338515,14.4658832,250.3378906,0.0,155.5522094,69.49377729,69.49377729
1654802322001178112,50.08259101,14.46601962,250.03533760000002,7.5695893089999995,165.0268629,62.12106535,62.12106535
1654802323001198336,50.08319684,14.46575713,250.3191875,1.107773562,162.18333180000002,31.15787009,31.15787009
1654802324001218048,50.08336773,14.46568947,250.2123328,1.081867481,168.6447366,19.5476226,19.5476226
1654802325001238016,50.08335748,14.46568848,250.4261952,0.9833581243,189.94723100000002,18.90251903,18.90251903
1654802326001257216,50.08334342,14.46574283,250.15179069999996,0.9287832923,166.0596955,18.47530283,18.47530283
1654802327001276416,50.08326696,14.46581945,249.9857469,0.571225371,143.8014064,16.01448303,16.01448303
1654802328001296384,50.08324181,14.46589465,250.0653332,0.0,143.80146000000002,9.656196135,9.656196135
1654802329001316864,50.08324985,14.46587387,250.0347841,0.0,143.8014451,9.593869991,9.593869991
1654802330001335808,50.08324718,14.46587501,249.75764069999997,0.0,143.8014461,10.31081434,10.31081434
1654802331001355264,50.08324383,14.46587852,250.2784318,0.0,143.8014488,11.53850308,11.53850308
1654802332001374976,50.08324032,14.46588482,249.8365647,0.0,143.80145349999998,13.22272031,13.22272031
1654802333001393920,50.08323529,14.46588986,249.82528050000002,0.0,143.8014574,15.36317194,15.36317194
1654802334001414400,50.08323327,14.46589906,250.15321690000002,0.0,143.8014638,18.71367451,18.71367451
1654802335001433344,50.0832324,14.46590156,249.8103645,0.0,143.8014656,22.53635606,22.53635606
1654802336001453056,50.08322938,14.4659077,249.90111569999996,0.0,143.8014701,26.64682847,26.64682847
1654802337001472000,50.08322249,14.4659097,249.96692459999997,0.0,143.80147209999998,31.34529702,31.34529702
1654802338017539072,50.08321826,14.46591144,249.9936159,0.0,143.8014737,33.58434537,33.58434537
1654802345001626880,50.08390553,14.46595193,293.46993260000005,0.8199999928,21.09375,90.38024848,90.38024848
1654802346001647616,50.08390553,14.46595193,293.46993260000005,0.8199999928,-1.0,90.38024848,90.38024848
1654802347001666304,50.08317791,14.46592453,250.58057909999997,0.0,143.8014866,91.5587184,91.5587184
1654802348001686016,50.08343982,14.4658464,250.3567265,1.826366213,357.0760295,34.86776707,34.86776707
1654802349001704960,50.08345422,14.46585185,250.4570634,1.7750188759999999,359.64155550000004,38.03858926,38.03858926
1654802350001723904,50.08334596,14.46594848,250.35863959999998,1.161012542,132.86760959999998,30.90442327,30.90442327
1654802350999125504,50.0833343,14.46593267,250.09225849999999,1.062588946,144.1026101,30.14806214,30.14806214
1654802351999169024,50.0833279,14.46594128,250.17004120000001,1.051970362,143.7323935,31.17029237,31.17029237
1654802352999157248,50.08331224,14.46589366,250.0509848,0.9812480011,159.6320894,28.96512983,28.96512983
1654802353999203328,50.08330852,14.46591929,250.1314753,1.025256334,156.3471702,28.81895424,28.81895424
1654802354999201280,50.08331393,14.46593409,249.9320048,0.9367486409,166.53331310000002,26.80034534,26.80034534
1654802355999247872,50.08360301,14.46577758,250.0581543,0.0,167.3674442,20.23343405,20.23343405
1654802356999244032,50.08357662,14.46576532,250.12598340000002,0.0,167.3674356,19.90771259,19.90771259
1654802357999291648,50.08357337,14.46577955,250.25480409999997,0.0,167.3674461,20.7185806,20.7185806
1654802358999287040,50.08356404,14.46576412,250.3388167,0.0,167.3674349,20.64898263,20.64898263
1654802359999335424,50.08377275,14.46573651,250.5590631,0.0,167.367412,11.79795577,11.79795577
1654802360999331584,50.08370709,14.46581511,250.6870793,0.0,167.3674703,11.30216161,11.30216161
1654802361999377920,50.08356369,14.46584312,250.63749790000003,0.0,167.3674926,9.368631697,9.368631697
1654802362999373056,50.08352031,14.46586892,250.60399790000002,0.0,167.36751189999998,8.948816232,8.948816232
1654802363999417856,50.08350653,14.46586792,250.44962009999998,0.9354535407,179.03239130000003,9.717905679,9.717905679
1654802364999408640,50.08349855,14.4658665,250.5302673,0.9676790073999999,180.7075501,10.90568054,10.90568054
1654802365999453696,50.08348703,14.46586161,250.6815085,1.0250824809999999,184.3590179,12.47739207,12.47739207
1654802366999447552,50.08347467,14.46585609,250.49745819999998,1.075352362,186.3337397,14.63275267,14.63275267
1654802367999487232,50.08346987,14.46585769,250.43724480000003,0.0,184.79211669999998,16.80626262,16.80626262
1654802368999475712,50.08345768,14.46585229,250.47348480000002,0.0,184.7921127,19.5384073,19.5384073
1654802369999515392,50.0834462,14.46584791,250.6032562,0.0,184.79210940000002,22.23819359,22.23819359
1654802370999556864,50.08343469,14.46584626,250.35654509999998,0.0,184.7921081,26.0828946,26.0828946
1654802371999596032,50.08342223,14.46584258,250.40439390000003,0.0,184.7921054,29.57527032,29.57527032
1654802372999633920,50.08340253,14.46583616,250.41207819999997,0.0,184.7921006,33.61560256,33.61560256
1654802373999672576,50.08339172,14.46583028,250.26866,0.0,184.79209619999997,37.983811,37.983811
1654802374999708416,50.08338337,14.46582199,250.34522379999999,0.0,184.7920901,43.18159302,43.18159302
1654802375999742464,50.0833798,14.46581799,250.32089380000002,0.0,184.7920871,46.37346656,46.37346656
1654802376999777536,50.08338615,14.4658477,250.22215719999997,0.0,184.792109,46.86833044,46.86833044
1654802377999810816,50.08339041,14.46586413,250.25408219999997,0.0,184.7921211,50.61252274,50.61252274
1654802378999844864,50.08342399,14.46586629,250.1826621,0.0,184.79212280000002,51.10404742,51.10404742
1654802379999877120,50.08346656,14.46586342,250.0500739,0.0,184.79212090000001,50.99721837,50.99721837
1654802380999908096,50.08348783,14.46585176,250.27289680000004,0.0,184.7921124,51.13826712,51.13826712
1654802381999939328,50.08343208,14.4658643,250.3565321,0.0,184.7921214,54.08993563,54.08993563
1654802382999968256,50.08341014,14.46587475,250.1443201,0.0,184.79212900000002,49.92640461,49.92640461
1654802383999998720,50.08342317,14.46586297,250.21062769999997,0.0,184.79212040000002,32.20941037,32.20941037
1654802385000027904,50.08329954,14.46596634,250.2889494,0.0,184.7921959,22.28458625,22.28458625
1654802386000056064,50.08330365,14.4659154,250.20254759999997,0.0,184.7921585,18.2836134,18.2836134
1654802387000101888,50.08329841,14.46591994,250.0369713,0.0,184.7921618,17.22506541,17.22506541
1654802388000111872,50.08329255,14.46592103,250.18141200000002,0.0,184.79216259999998,17.78928307,17.78928307
1654802389000139008,50.08328621,14.46592412,249.9254617,0.0,184.7921648,18.84832481,18.84832481
1654802390000165376,50.08327874,14.46592361,250.1970911,0.0,184.79216440000002,20.64673151,20.64673151
1654802391000192512,50.08327556,14.46592371,249.92968059999998,0.0,184.7921645,23.00776487,23.00776487
1654802391219836416,50.08364387,14.46597507,250.8938179,0.0,44.30554063,25.03170698,25.03170698
1654802392215432704,50.08364166,14.46594433,250.96108519999999,0.0,44.3055179,23.78933033,23.78933033
1654802393220723200,50.08364305,14.46596314,250.861609,0.0,44.30553181,23.53237291,23.53237291
1654802394218254592,50.0836443,14.46595479,251.01700609999997,0.0,44.30552572,22.80411688,22.80411688
1654802395215597312,50.08364633,14.46597456,250.82071119999998,0.0,44.30554038,23.43972035,23.43972035
1654802396219749120,50.08364706,14.4659721,251.23394059999998,0.0,44.30553859,24.86238611,24.86238611
1654802397220742912,50.08364918,14.46597202,250.8253569,0.0,44.30553864,26.62895175,26.62895175
1654802398221663744,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.96911331,23.96911331
1654802399220185856,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.9286835,23.9286835
1654802400220305920,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.83407484,23.83407484
1654802401219920640,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.69892192,23.69892192
1654802402219985152,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.63942688,23.63942688
1654802403218818048,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.63298436,23.63298436
1654802404218849280,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.68771708,23.68771708
1654802405215518720,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.81294471,23.81294471
1654802406220143872,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.87657924,23.87657924
1654802407219984896,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.88852259,23.88852259
1654802408218080768,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,23.94110397,23.94110397
1654802409219107840,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.0055044,24.0055044
1654802410220123904,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.08722967,24.08722967
1654802411220125952,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.11788458,24.11788458
1654802412219644416,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.15470686,24.15470686
1654802413217976576,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.22103287,24.22103287
1654802414219255296,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.26273661,24.26273661
1654802415217317120,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.26248709,24.26248709
1654802416218778368,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.27845104,24.27845104
1654802417220120576,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.28798566,24.28798566
1654802418218658304,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.3007324,24.3007324
1654802419217256960,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.32077767,24.32077767
1654802420222009600,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.35265205,24.35265205
1654802421219319808,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.38014391,24.38014391
1654802422220941056,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.40496496,24.40496496
1654802423219498496,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.37860567,24.37860567
1654802424214363904,50.0836512,14.46597364,250.73669619999998,0.0,44.30553993,24.389239,24.389239
1654802425221255424,50.08365233,14.46599527,251.0545838,0.0,44.3055559,24.4159374,24.4159374
1654802426221716992,50.08358185,14.46598915,250.9176713,0.0,44.3055481,15.39653498,15.39653498
1654802427220631040,50.0835827,14.46599591,250.7413321,0.0,44.30555312,15.97360853,15.97360853
1654802428219035904,50.08358385,14.4659946,251.02793530000002,0.0,44.30555221,17.44848931,17.44848931
