Time (s),X (µT),Y (µT),Z (µT)
1654684622271149056,-11.26095581,-25.7862854,-55.23944092
1654684622442525952,-11.26095581,-25.7862854,-55.23944092
1654684622623912704,-11.11274719,-25.6654377,-55.34710693
1654684622815278848,-11.11274719,-25.6654377,-55.34710693
1654684623016654592,-11.27616882,-25.73379898,-55.30078125
1654684623228039680,-11.27616882,-25.73379898,-55.30078125
1654684623449404672,-11.52848816,-25.87719727,-55.28430176
1654684623680778752,-11.52848816,-25.87719727,-55.28430176
1654684623922132736,-10.9173584,-25.99136353,-55.19171143
1654684624173495808,-10.9173584,-25.99136353,-55.19171143
1654684624434868736,-11.59906006,-26.06317139,-55.35968018
1654684624706220800,-11.59906006,-26.06317139,-55.35968018
1654684624987582976,-11.31936646,-26.12974548,-55.5246582
1654684625278924032,-11.31936646,-26.12974548,-55.5246582
1654684625580274944,-11.1960144,-25.96418571,-55.36651611
1654684625891604992,-11.1960144,-25.96418571,-55.36651611
1654684626212945152,-11.44602203,-25.93357849,-55.35919189
1654684626544295424,-11.44602203,-25.93357849,-55.35919189
1654684626885624320,-11.56317902,-25.96778107,-55.40893555
1654684627236963584,-11.56317902,-25.96778107,-55.40893555
1654684627598281728,-11.70939636,-26.11198616,-55.24005127
1654684627969609728,-11.70939636,-26.11198616,-55.24005127
1654684628350947584,-11.514328,-25.96276474,-55.30212402
1654684628742264576,-11.514328,-25.96276474,-55.30212402
1654684629143591424,-11.32577515,-25.93396187,-55.37670898
1654684629554897408,-11.32577515,-25.93396187,-55.37670898
1654684629976184320,-11.37155151,-25.87864494,-55.37426758
1654684630407481344,-11.37155151,-25.87864494,-55.37426758
1654684630848757504,-11.37631226,-25.88023376,-55.4229126
1654684631300043520,-11.37631226,-25.88023376,-55.4229126
1654684631761308672,-11.58792114,-25.71916771,-55.46734619
1654684632232583680,-11.58792114,-25.71916771,-55.46734619
1654684632713868032,-11.36100769,-26.00683784,-55.39086914
1654684633205132032,-11.36100769,-26.00683784,-55.39086914
1654684633706405120,-11.04542542,-25.85161591,-55.6317749
1654684634217658368,-11.04542542,-25.85161591,-55.6317749
1654684634738920448,-11.42214966,-25.82891846,-55.39849854
1654684635270192640,-11.42214966,-25.82891846,-55.39849854
1654684635811443712,-11.23581696,-25.93904305,-55.53295898
1654684636362704896,-11.23581696,-25.93904305,-55.53295898
1654684636923945216,-11.51053619,-25.86239815,-55.15454102
1654684637495195392,-11.51053619,-25.86239815,-55.15454102
1654684638076455680,-11.27503967,-25.90852165,-55.35626221
1654684638667694848,-11.27503967,-25.90852165,-55.35626221
1654684639268943872,-11.38626099,-25.86814117,-55.5668335
1654684639880172288,-11.38626099,-25.86814117,-55.5668335
1654684640501410560,-11.37905884,-25.85537338,-55.60662842
1654684641132658688,-11.37905884,-25.85537338,-55.60662842
1654684641773885696,-11.20722198,-25.93549538,-55.4810791
1654684642425122816,-11.20722198,-25.93549538,-55.4810791
1654684643086338816,-11.37004089,-25.87518883,-55.31817627
1654684643757564928,-11.37004089,-25.87518883,-55.31817627
1654684644438800896,-10.87088776,-26.00853157,-55.29199219
1654684645130016000,-10.87088776,-26.00853157,-55.29199219
1654684645831240960,-11.15342712,-26.15093422,-55.50811768
1654684646542445056,-11.15342712,-26.15093422,-55.50811768
1654684647263659008,-10.92642975,-26.09865379,-55.50604248
1654684647994882048,-10.92642975,-26.09865379,-55.50604248
1654684648736085248,-11.38828278,-25.95054436,-55.57611084
1654684649487297280,-11.38828278,-25.95054436,-55.57611084
1654684650248489472,-11.48147583,-25.91122818,-55.37677002
1654684651019690496,-11.48147583,-25.91122818,-55.37677002
1654684651800901632,-11.59805298,-26.1009922,-55.39544678
1654684652592091904,-11.59805298,-26.1009922,-55.39544678
1654684653393292032,-11.40206146,-25.99224091,-55.63677979
1654684654204471040,-11.40206146,-25.99224091,-55.63677979
1654684655025660416,-11.33603668,-25.86149597,-55.28930664
1654684655856859392,-11.33603668,-25.86149597,-55.28930664
1654684656698037504,-11.09027863,-25.76324272,-55.27508545
1654684657549225728,-11.09027863,-25.76324272,-55.27508545
1654684658410393088,-11.34089661,-26.02017784,-55.30664062
1654684659281570304,-11.34089661,-26.02017784,-55.30664062
1654684660162726400,-11.59638977,-25.91747665,-55.34667969
1654684661053892608,-11.59638977,-25.91747665,-55.34667969
1654684661955068928,-11.48765564,-26.02158928,-55.57006836
1654684662866224128,-11.48765564,-26.02158928,-55.57006836
1654684663787389184,-11.3925705,-25.88442993,-55.74743652
1654684664718533376,-11.3925705,-25.88442993,-55.74743652
1654684665659687680,-11.61160278,-25.75696182,-55.41204834
1654684666610851840,-11.61160278,-25.75696182,-55.41204834
1654684667571994880,-11.01776886,-26.15858078,-55.27648926
1654684668543147776,-11.01776886,-26.15858078,-55.27648926
1654684669524279808,-11.65760803,-26.05301285,-55.53155518
1654684670515421952,-11.65760803,-26.05301285,-55.53155518
1654684671516572928,-11.18887329,-25.98635292,-55.54852295
1654684672527704064,-11.18887329,-25.98635292,-55.54852295
1654684673548844032,-11.15180206,-26.01115799,-55.66082764
1654684674579964160,-11.15180206,-26.01115799,-55.66082764
1654684675621093376,-11.16295624,-26.06932259,-55.34790039
1654684676672232448,-11.16295624,-26.06932259,-55.34790039
1654684677733350400,-11.12482452,-26.15503883,-55.49432373
1654684678804478720,-11.12482452,-26.15503883,-55.49432373
1654684679885585920,-11.55845642,-26.08872604,-55.43133545
1654684680976702976,-11.55845642,-26.08872604,-55.43133545
1654684682077829888,-11.4464035,-26.10032463,-55.57769775
1654684683188936192,-11.4464035,-26.10032463,-55.57769775
1654684684310052352,-11.40869141,-25.94224167,-55.67126465
1654684685441147648,-11.40869141,-25.94224167,-55.67126465
1654684686582252800,-11.54129028,-25.941185,-55.33825684
1654684687733368064,-11.54129028,-25.941185,-55.33825684
1654684688894461952,-11.56588745,-26.01834869,-55.49029541
1654684690065566208,-11.56588745,-26.01834869,-55.49029541
1654684691246649600,-11.57173157,-26.10437965,-55.4666748
1654684692437742592,-11.57173157,-26.10437965,-55.4666748
1654684693638844672,-11.17614746,-25.9244194,-55.29650879
1654684694849926912,-11.17614746,-25.9244194,-55.29650879
1654684696071019264,-11.43493652,-26.09275246,-55.53442383
1654684697302090496,-11.43493652,-26.09275246,-55.53442383
1654684698543171584,-11.39060211,-26.08908081,-55.37432861
1654684699794261760,-11.39060211,-26.08908081,-55.37432861
1654684701055331584,-11.24072266,-26.07785034,-55.67626953
1654684702326410752,-11.24072266,-26.07785034,-55.67626953
1654684703607469824,-11.47286224,-26.02045059,-55.50366211
1654684704898537984,-11.47286224,-26.02045059,-55.50366211
1654684706199616000,-11.43370819,-26.03098297,-55.4105835
1654684707510672896,-11.43370819,-26.03098297,-55.4105835
1654684708831740160,-11.42272186,-25.8311615,-55.59356689
1654684710162786304,-11.42272186,-25.8311615,-55.59356689
1654684711503842304,-11.65146637,-25.77255058,-55.45471191
1654684712854908416,-11.65146637,-25.77255058,-55.45471191
1654684714215953664,-11.42630005,-25.81559944,-55.60778809
1654684715587008768,-11.42630005,-25.81559944,-55.60778809
1654684716968043008,-11.58467102,-26.05857468,-55.45910645
1654684718359087104,-11.58467102,-26.05857468,-55.45910645
1654684719760141056,-11.52103424,-25.90732193,-55.57476807
1654684721171174400,-11.52103424,-25.90732193,-55.57476807
1654684722592217344,-11.33590698,-26.0518856,-55.44433594
1654684724023204864,-11.33590698,-26.0518856,-55.44433594
1654684725464202240,-11.34745026,-26.0931778,-55.38311768
1654684726915208704,-11.34745026,-26.0931778,-55.38311768
1654684728376195072,-11.5397644,-25.8989048,-55.72033691
1654684729847190528,-11.5397644,-25.8989048,-55.72033691
1654684731328165888,-11.53006744,-25.85465813,-55.4932251
1654684732819150080,-11.53006744,-25.85465813,-55.4932251
1654684734320144640,-11.60536194,-25.89283371,-55.50592041
1654684735831118080,-11.60536194,-25.89283371,-55.50592041
1654684737352101632,-11.07471466,-26.02004814,-55.5526123
1654684738883065088,-11.07471466,-26.02004814,-55.5526123
1654684740424037376,-11.11262512,-25.8921833,-55.84344482
1654684741975020032,-11.11262512,-25.8921833,-55.84344482
1654684743535981312,-11.35858917,-26.07429504,-55.67254639
1654684745106952960,-11.35858917,-26.07429504,-55.67254639
1654684746687903232,-11.35462189,-25.99410629,-55.62835693
1654684748278863360,-11.35462189,-25.99410629,-55.62835693
1654684749879833600,-11.54571533,-26.08087921,-55.38317871
1654684751490782976,-11.54571533,-26.08087921,-55.38317871
1654684753111742208,-11.29725647,-26.1416626,-55.55780029
1654684754742680576,-11.29725647,-26.1416626,-55.55780029
1654684756383628800,-11.59831238,-25.87276268,-55.47497559
1654684758034587136,-11.59831238,-25.87276268,-55.47497559
1654684759695524608,-11.48109436,-26.06193161,-55.675354
1654684761366471680,-11.48109436,-26.06193161,-55.675354
1654684763047397888,-11.24262238,-26.06335449,-55.56072998
1654684764738334464,-11.24262238,-26.06335449,-55.56072998
1654684766439249920,-11.40983582,-26.04148483,-55.4128418
1654684768150174976,-11.40983582,-26.04148483,-55.4128418
1654684769871109376,-11.21724701,-25.94062614,-55.5168457
1654684771602023680,-11.21724701,-25.94062614,-55.5168457
1654684773342947328,-11.27993011,-25.93720818,-55.48565674
1654684775093850624,-11.27993011,-25.93720818,-55.48565674
1654684776854763008,-11.52183533,-26.0715313,-55.50799561
1654684778625685504,-11.52183533,-26.0715313,-55.50799561
1654684780406586880,-10.98116302,-26.0640316,-55.41394043
1654684782197498368,-10.98116302,-26.0640316,-55.41394043
1654684783998388736,-11.43524933,-26.07269859,-55.37683105
1654684785809289216,-11.43524933,-26.07269859,-55.37683105
1654684787630199808,-11.19145203,-25.94671249,-55.60931396
1654684789461089024,-11.19145203,-25.94671249,-55.60931396
1654684791301988608,-11.31597137,-25.94074631,-55.6138916
1654684793152867072,-11.31597137,-25.94074631,-55.6138916
1654684795013755648,-11.37297821,-26.02865982,-55.57946777
1654684796884654080,-11.37297821,-26.02865982,-55.57946777
1654684798765531392,-11.14990997,-26.13840485,-55.59289551
1654684800656418560,-11.14990997,-26.13840485,-55.59289551
1654684802557284864,-11.65110779,-26.03905296,-55.32904053
1654684804468161024,-11.65110779,-26.03905296,-55.32904053
