Time (s),Distance (cm)
1654802181444514304,5.0
1654802391180854784,5.0
1654802391859152896,0.0
1654802612964517632,5.0
1654802614264172800,5.0
1654802683879379200,0.0
1654802684212749056,5.0
1654802684729431040,0.0
1654802685062781696,5.0
1654802685362863104,0.0
1654802685696185600,5.0
1654802692446695680,0.0
1654802693933863680,5.0
1654802709481739776,0.0
1654802709798415872,5.0
1654802710215119616,0.0
1654802711372486656,5.0
1654802722233465088,0.0
1654802722550156032,5.0
1654802723883582720,0.0
1654802724100241920,5.0
1654802731917511936,0.0
1654802732450886144,5.0
1654802732750971904,0.0
1654802733535910912,5.0
1654802733735403776,0.0
1654802736321353216,5.0
1654802736668078080,0.0
1654802737201418240,5.0
1654802737501529088,0.0
1654802738033829376,5.0
1654802738290623232,0.0
1654802738485285376,5.0
1654802740049720320,0.0
1654802740383076608,5.0
1654802753674275840,5.0
1654802955271995904,5.0
1654803108386054912,5.0
1654803111695740160,0.0
1654803111812431104,5.0
1654803161466220544,0.0
1654803161682912768,5.0
1654803181301042176,0.0
1654803181617719040,5.0
1654803232609704960,5.0
1654803404222168064,5.0
1654803404781952000,0.0
1654803710514526976,5.0
1654803711412787968,5.0
1654803758173985024,0.0
1654803758507277056,5.0
1654803768224732928,0.0
1654803768541416960,5.0
1654803780475688960,0.0
1654803780792376064,5.0
1654803782325822976,0.0
1654803782542505984,5.0
1654803786576125952,0.0
1654803786892808960,5.0
1654803788309577984,0.0
1654803788642946048,5.0
1654803789093028096,0.0
1654803789526336000,5.0
1654803789909679104,0.0
1654803790343051008,5.0
1654803791009801984,0.0
1654803791326480896,5.0
1654803791759844096,0.0
1654803792193204992,5.0
1654803794476729856,0.0
1654803794810052096,5.0
1654803795360307968,0.0
1654803795693457920,5.0
1654803796293538048,0.0
1654803796626863104,5.0
1654803828512581888,0.0
1654803829045938944,5.0
1654803831878327040,0.0
1654803832411696896,5.0
1654803836269008896,5.0
1654803837161619968,0.0
1654803838295812096,5.0
1654803839179728896,0.0
1654803998310797056,5.0
1654803999329485056,5.0
