,start,steps,combined
0,2023-01-01 00:00:00,0.0,5.0
1,2023-01-01 00:10:00,97.05405405405403,5.0
2,2023-01-01 00:20:00,94.94594594594597,5.0
3,2023-01-01 00:30:00,0.0,5.0
4,2023-01-01 00:40:00,46.876666666666665,5.0
5,2023-01-01 00:50:00,126.32623188405796,5.0
12,2023-01-01 02:00:00,0.0,5.0
13,2023-01-01 02:10:00,117.96296296296296,5.0
14,2023-01-01 02:20:00,134.03703703703704,5.0
15,2023-01-01 02:30:00,113.0,5.0
16,2023-01-01 02:40:00,11.586919104991392,5.0
17,2023-01-01 02:50:00,109.01341534316914,5.0
36,2023-01-01 06:00:00,0.0,5.0
37,2023-01-01 06:10:00,0.0,5.0
38,2023-01-01 06:20:00,0.0,5.0
39,2023-01-01 06:30:00,0.0,5.0
40,2023-01-01 06:40:00,0.0,5.0
41,2023-01-01 06:50:00,0.0,5.0
48,2023-01-01 08:00:00,0.0,6.0
49,2023-01-01 08:10:00,0.0,6.0
50,2023-01-01 08:20:00,0.0,6.0
51,2023-01-01 08:30:00,0.0,6.0
52,2023-01-01 08:40:00,0.0,6.0
53,2023-01-01 08:50:00,0.0,6.0
54,2023-01-01 09:00:00,0.0,5.0
55,2023-01-01 09:10:00,0.0,5.0
56,2023-01-01 09:20:00,0.0,5.0
57,2023-01-01 09:30:00,0.0,5.0
58,2023-01-01 09:40:00,0.0,5.0
59,2023-01-01 09:50:00,0.0,5.0
60,2023-01-01 10:00:00,0.0,5.0
61,2023-01-01 10:10:00,0.0,5.0
62,2023-01-01 10:20:00,0.0,5.0
63,2023-01-01 10:30:00,0.0,5.0
64,2023-01-01 10:40:00,26.0,5.0
65,2023-01-01 10:50:00,0.0,5.0
66,2023-01-01 11:00:00,0.0,5.0
67,2023-01-01 11:10:00,0.0,5.0
68,2023-01-01 11:20:00,13.0,5.0
69,2023-01-01 11:30:00,0.0,5.0
70,2023-01-01 11:40:00,0.0,5.0
71,2023-01-01 11:50:00,0.0,5.0
90,2023-01-01 15:00:00,0.0,5.0
91,2023-01-01 15:10:00,0.0,5.0
92,2023-01-01 15:20:00,0.0,5.0
93,2023-01-01 15:30:00,0.0,5.0
94,2023-01-01 15:40:00,0.0,5.0
95,2023-01-01 15:50:00,0.0,5.0
108,2023-01-01 18:00:00,0.0,6.0
109,2023-01-01 18:10:00,0.0,6.0
110,2023-01-01 18:20:00,0.0,6.0
111,2023-01-01 18:30:00,0.0,6.0
112,2023-01-01 18:40:00,0.0,6.0
113,2023-01-01 18:50:00,11.398926654740608,6.0
120,2023-01-01 20:00:00,0.0,6.0
121,2023-01-01 20:10:00,0.0,6.0
122,2023-01-01 20:20:00,0.0,6.0
123,2023-01-01 20:30:00,0.0,6.0
124,2023-01-01 20:40:00,0.0,6.0
125,2023-01-01 20:50:00,0.0,6.0
132,2023-01-01 22:00:00,0.0,6.0
